+-------+------------------+--------------------+----------------+----------+---------+-----------+---------+---------+--------------------+------------------+
| Epoch | Machine Training | Discriminator Loss | Generator Loss | Accuracy |   FPR   | Precision |  Recall |    F1   | Median Wasserstein | Mean Wasserstein |
+-------+------------------+--------------------+----------------+----------+---------+-----------+---------+---------+--------------------+------------------+
|   1   |  Discriminator   |       0.706        |     0.546      |  0.500   |  1.000  |   0.500   |  1.000  |  0.666  |       0.427        |      0.438       |
|   2   |  Discriminator   |       0.702        |     0.546      |  0.498   |  1.000  |   0.499   |  0.996  |  0.664  |       0.428        |      0.436       |
|   3   |  Discriminator   |       0.699        |     0.546      |  0.500   |  1.000  |   0.500   |  1.000  |  0.666  |       0.428        |      0.439       |
|   4   |  Discriminator   |       0.695        |     0.546      |  0.500   |  1.000  |   0.500   |  1.000  |  0.666  |       0.429        |      0.436       |
|   5   |  Discriminator   |       0.692        |     0.546      |  0.500   |  1.000  |   0.500   |  1.000  |  0.666  |       0.426        |      0.441       |
|   6   |  Discriminator   |       0.690        |     0.546      |  0.500   |  1.000  |   0.500   |  1.000  |  0.666  |       0.424        |      0.436       |
|   7   |  Discriminator   |       0.683        |     0.546      |  0.500   |  1.000  |   0.500   |  1.000  |  0.666  |       0.425        |      0.435       |
|   8   |  Discriminator   |       0.678        |     0.546      |  0.500   |  1.000  |   0.500   |  1.000  |  0.666  |       0.429        |      0.438       |
|   9   |  Discriminator   |       0.674        |     0.546      |  0.500   |  1.000  |   0.500   |  1.000  |  0.666  |       0.416        |      0.434       |
|   10  |  Discriminator   |       0.670        |     0.546      |  0.500   |  1.000  |   0.500   |  1.000  |  0.666  |       0.423        |      0.434       |
|   11  |  Discriminator   |       0.660        |     0.546      |  0.504   |  0.992  |   0.502   |  1.000  |  0.668  |       0.431        |      0.440       |
|   12  |  Discriminator   |       0.654        |     0.546      |  0.508   |  0.984  |   0.504   |  1.000  |  0.670  |       0.420        |      0.434       |
|   13  |  Discriminator   |       0.645        |     0.546      |  0.552   |  0.896  |   0.527   |  1.000  |  0.690  |       0.435        |      0.439       |
|   14  |  Discriminator   |       0.636        |     0.546      |  0.626   |  0.748  |   0.572   |  1.000  |  0.727  |       0.426        |      0.437       |
|   15  |  Discriminator   |       0.623        |     0.546      |  0.706   |  0.576  |   0.632   |  0.988  |  0.770  |       0.429        |      0.438       |
|   16  |  Discriminator   |       0.615        |     0.546      |  0.766   |  0.464  |   0.682   |  0.996  |  0.809  |       0.413        |      0.433       |
|   17  |  Discriminator   |       0.592        |     0.546      |  0.814   |  0.356  |   0.734   |  0.984  |  0.841  |       0.432        |      0.438       |
|   18  |  Discriminator   |       0.579        |     0.546      |  0.842   |  0.296  |   0.768   |  0.980  |  0.861  |       0.430        |      0.438       |
|   19  |    Generator     |       0.579        |     0.700      |  0.722   |  0.532  |   0.647   |  0.976  |  0.778  |       0.416        |      0.427       |
|   20  |    Generator     |       0.579        |     0.653      |  0.624   |  0.740  |   0.572   |  0.988  |  0.724  |       0.403        |      0.412       |
|   21  |  Discriminator   |       0.608        |     0.653      |  0.690   |  0.592  |   0.621   |  0.972  |  0.758  |       0.405        |      0.410       |
|   22  |  Discriminator   |       0.594        |     0.653      |  0.746   |  0.480  |   0.669   |  0.972  |  0.792  |       0.407        |      0.408       |
|   23  |  Discriminator   |       0.570        |     0.653      |  0.792   |  0.388  |   0.715   |  0.972  |  0.823  |       0.407        |      0.408       |
|   24  |  Discriminator   |       0.557        |     0.653      |  0.830   |  0.292  |   0.765   |  0.952  |  0.848  |       0.408        |      0.408       |
