Epoch,Machine Training,Discriminator Loss,Generator Loss,FPR,Recall,Median Wasserstein,Mean Wasserstein
1,Discriminator,0.69424,0.66533,0.96154,0.92308,0.45772,0.44556
2,Discriminator,0.69163,0.66536,0.88462,0.92308,0.43063,0.43102
3,Discriminator,0.68884,0.67020,0.96154,0.84615,0.54652,0.53253
4,Discriminator,0.69272,0.67304,0.88462,0.88462,0.50647,0.49195
5,Discriminator,0.69120,0.67534,0.92308,0.80769,0.54791,0.53893
6,Generator,0.69120,0.67081,0.92308,0.69231,0.41695,0.41483
7,Generator,0.69120,0.66809,0.96154,0.76923,0.50044,0.47315
8,Discriminator,0.69052,0.67331,0.92308,0.92308,0.45606,0.43403
9,Discriminator,0.68989,0.67812,0.76923,0.80769,0.47413,0.44988
10,Discriminator,0.68903,0.67664,0.84615,0.84615,0.50855,0.47865
11,Discriminator,0.68599,0.67594,0.76923,0.84615,0.42181,0.43396
12,Discriminator,0.68875,0.68354,0.69231,0.88462,0.70228,0.63843
13,Generator,0.68875,0.68265,0.76923,0.73077,0.42019,0.40644
14,Generator,0.68875,0.67811,0.73077,0.80769,0.55288,0.57692
15,Discriminator,0.68995,0.68052,0.61538,0.84615,0.49051,0.47356
16,Discriminator,0.68491,0.68262,0.84615,0.88462,0.44333,0.43568
17,Discriminator,0.69051,0.69273,0.73077,0.84615,0.74632,0.70950
18,Discriminator,0.68941,0.68531,0.69231,0.73077,0.61913,0.55529
19,Discriminator,0.68168,0.69199,0.50000,0.84615,0.42462,0.42654
20,Generator,0.68168,0.68827,0.53846,0.84615,0.50518,0.51252
21,Generator,0.68168,0.68697,0.65385,0.76923,0.46724,0.45583
22,Discriminator,0.68180,0.68978,0.61538,0.88462,0.45906,0.45425
23,Discriminator,0.68319,0.69389,0.42308,0.73077,0.44075,0.46315
24,Discriminator,0.68533,0.69820,0.53846,0.88462,0.60450,0.61008
25,Discriminator,0.67792,0.70157,0.30769,0.84615,0.41258,0.42521
26,Discriminator,0.67948,0.70142,0.42308,0.73077,0.47775,0.44584
27,Generator,0.67948,0.69833,0.30769,0.76923,0.44343,0.44126
28,Generator,0.67948,0.70114,0.38462,0.92308,0.37373,0.38312
29,Discriminator,0.68211,0.69829,0.42308,0.76923,0.49124,0.48186
30,Discriminator,0.68589,0.70329,0.34615,0.69231,0.46636,0.42846
31,Discriminator,0.67782,0.70525,0.38462,0.73077,0.51643,0.50973
32,Discriminator,0.67739,0.71002,0.30769,0.73077,0.47314,0.51390
33,Discriminator,0.67432,0.71004,0.34615,0.92308,0.41230,0.40974
34,Generator,0.67432,0.70091,0.38462,0.73077,0.49917,0.48151
35,Generator,0.67432,0.69698,0.38462,0.73077,0.37713,0.41096
36,Discriminator,0.68174,0.69750,0.50000,0.84615,0.40409,0.41633
37,Discriminator,0.68308,0.70632,0.19231,0.84615,0.52005,0.50368
38,Discriminator,0.67924,0.71155,0.23077,0.84615,0.54287,0.53858
39,Discriminator,0.67295,0.70949,0.19231,0.88462,0.43933,0.42937
40,Discriminator,0.67070,0.71307,0.15385,0.84615,0.36791,0.38769
41,Generator,0.67070,0.71228,0.26923,0.65385,0.46628,0.48813
42,Generator,0.67070,0.71044,0.30769,0.69231,0.42335,0.43159
43,Discriminator,0.68223,0.70150,0.34615,0.73077,0.51918,0.49625
44,Discriminator,0.67502,0.70897,0.26923,0.73077,0.36510,0.38378
45,Discriminator,0.67782,0.71926,0.42308,0.80769,0.40936,0.39801
46,Discriminator,0.67072,0.71497,0.34615,0.84615,0.36637,0.39021
47,Discriminator,0.67149,0.72360,0.30769,0.88462,0.41624,0.41738
48,Generator,0.67149,0.71491,0.34615,0.61538,0.50045,0.49421
49,Generator,0.67149,0.70562,0.26923,0.80769,0.36542,0.40702
50,Discriminator,0.67767,0.71129,0.26923,0.76923,0.37407,0.38800
51,Generator,0.67767,0.70156,0.38462,0.80769,0.37191,0.38316
52,Generator,0.67767,0.69651,0.53846,0.80769,0.33450,0.38195
53,Discriminator,0.68077,0.70242,0.38462,0.57692,0.42840,0.43940
54,Discriminator,0.67884,0.70616,0.19231,0.76923,0.38198,0.38962
55,Discriminator,0.67513,0.71566,0.34615,0.61538,0.38339,0.36757
56,Discriminator,0.67232,0.71579,0.26923,0.80769,0.46454,0.43073
57,Discriminator,0.66971,0.71560,0.23077,0.76923,0.38255,0.38368
58,Generator,0.66971,0.70955,0.19231,0.69231,0.33176,0.34257
59,Generator,0.66971,0.70583,0.30769,0.76923,0.33299,0.38117
60,Discriminator,0.67471,0.70457,0.23077,0.92308,0.41468,0.39490
61,Discriminator,0.67773,0.71334,0.34615,0.76923,0.38981,0.37063
62,Discriminator,0.67741,0.71628,0.30769,0.73077,0.44965,0.46021
63,Discriminator,0.67172,0.72022,0.23077,0.84615,0.36650,0.39834
64,Discriminator,0.67085,0.72697,0.11538,0.73077,0.51759,0.53218
65,Generator,0.67085,0.71915,0.30769,0.57692,0.37231,0.36214
66,Generator,0.67085,0.71170,0.26923,0.80769,0.33496,0.36237
67,Discriminator,0.67664,0.71372,0.30769,0.84615,0.32787,0.33164
68,Discriminator,0.67500,0.71775,0.30769,0.80769,0.30645,0.32274
69,Discriminator,0.67209,0.71885,0.23077,0.84615,0.43750,0.43958
70,Discriminator,0.66569,0.71488,0.30769,0.73077,0.43757,0.42712
