+-------+------------------+--------------------+----------------+---------+---------+--------------------+------------------+
| Epoch | Machine Training | Discriminator Loss | Generator Loss |   FPR   |  Recall | Median Wasserstein | Mean Wasserstein |
+-------+------------------+--------------------+----------------+---------+---------+--------------------+------------------+
|   1   |  Discriminator   |      0.70522       |    0.54154     | 1.00000 | 1.00000 |      0.44474       |     0.47059      |
|   2   |  Discriminator   |      0.70609       |    0.54153     | 1.00000 | 1.00000 |      0.44793       |     0.47512      |
|   3   |  Discriminator   |      0.70587       |    0.54269     | 1.00000 | 1.00000 |      0.52934       |     0.52672      |
|   4   |  Discriminator   |      0.70556       |    0.54386     | 1.00000 | 1.00000 |      0.47595       |     0.50011      |
|   5   |  Discriminator   |      0.70528       |    0.54439     | 1.00000 | 1.00000 |      0.46252       |     0.46989      |
|   6   |    Generator     |      0.70528       |    0.54367     | 1.00000 | 1.00000 |      0.52116       |     0.53798      |
|   7   |    Generator     |      0.70528       |    0.54368     | 1.00000 | 1.00000 |      0.45823       |     0.47647      |
|   8   |  Discriminator   |      0.70599       |    0.54422     | 1.00000 | 1.00000 |      0.58553       |     0.57119      |
|   9   |  Discriminator   |      0.70554       |    0.54596     | 1.00000 | 1.00000 |      0.61750       |     0.60294      |
|   10  |  Discriminator   |      0.70553       |    0.54848     | 1.00000 | 1.00000 |      0.42245       |     0.43069      |
|   11  |  Discriminator   |      0.70355       |    0.54922     | 1.00000 | 1.00000 |      0.43785       |     0.46768      |
|   12  |  Discriminator   |      0.70447       |    0.54857     | 1.00000 | 1.00000 |      0.41973       |     0.41688      |
|   13  |    Generator     |      0.70447       |    0.54795     | 1.00000 | 1.00000 |      0.55934       |     0.56247      |
|   14  |    Generator     |      0.70447       |    0.54871     | 1.00000 | 1.00000 |      0.47882       |     0.53132      |
|   15  |  Discriminator   |      0.70436       |    0.54876     | 1.00000 | 1.00000 |      0.53486       |     0.53643      |
|   16  |  Discriminator   |      0.70325       |    0.54982     | 1.00000 | 1.00000 |      0.44011       |     0.45131      |
|   17  |  Discriminator   |      0.70238       |    0.55175     | 1.00000 | 1.00000 |      0.39086       |     0.41200      |
