+-------+------------------+--------------------+----------------+---------+---------+--------------------+------------------+
| Epoch | Machine Training | Discriminator Loss | Generator Loss |   FPR   |  Recall | Median Wasserstein | Mean Wasserstein |
+-------+------------------+--------------------+----------------+---------+---------+--------------------+------------------+
|   1   |  Discriminator   |      0.73119       |    0.98514     | 0.00000 | 0.00000 |      0.51043       |     0.54281      |
|   2   |  Discriminator   |      0.73307       |    0.96153     | 0.00000 | 0.00000 |      0.55875       |     0.58612      |
|   3   |  Discriminator   |      0.72313       |    0.97845     | 0.00000 | 0.00000 |      0.50300       |     0.49133      |
|   4   |  Discriminator   |      0.72340       |    0.96832     | 0.00000 | 0.00000 |      0.48260       |     0.50525      |
|   5   |  Discriminator   |      0.72169       |    0.95742     | 0.00000 | 0.00000 |      0.57139       |     0.52981      |
|   6   |    Generator     |      0.72169       |    0.95911     | 0.00000 | 0.00000 |      0.48647       |     0.48440      |
|   7   |    Generator     |      0.72169       |    0.94532     | 0.00000 | 0.00000 |      0.53184       |     0.53978      |
|   8   |  Discriminator   |      0.72509       |    0.95185     | 0.00000 | 0.00000 |      0.48736       |     0.51744      |
|   9   |  Discriminator   |      0.72374       |    0.94449     | 0.00000 | 0.00000 |      0.65093       |     0.69457      |
|   10  |  Discriminator   |      0.71694       |    0.94917     | 0.00000 | 0.00000 |      0.42117       |     0.45206      |
|   11  |  Discriminator   |      0.71745       |    0.94545     | 0.00000 | 0.00000 |      0.39925       |     0.43404      |
|   12  |  Discriminator   |      0.71099       |    0.93166     | 0.00000 | 0.00000 |      0.46815       |     0.50837      |
|   13  |    Generator     |      0.71099       |    0.92904     | 0.00000 | 0.00000 |      0.50622       |     0.52327      |
|   14  |    Generator     |      0.71099       |    0.92098     | 0.00000 | 0.00000 |      0.44838       |     0.48054      |
|   15  |  Discriminator   |      0.71869       |    0.92913     | 0.00000 | 0.00000 |      0.64106       |     0.64479      |
|   16  |  Discriminator   |      0.71516       |    0.92186     | 0.00000 | 0.00000 |      0.48907       |     0.52102      |
|   17  |  Discriminator   |      0.71108       |    0.91486     | 0.00000 | 0.00000 |      0.40132       |     0.44458      |
|   18  |  Discriminator   |      0.70812       |    0.91682     | 0.00000 | 0.00000 |      0.44809       |     0.45308      |
|   19  |  Discriminator   |      0.70348       |    0.91074     | 0.00000 | 0.00000 |      0.37330       |     0.43978      |
|   20  |    Generator     |      0.70348       |    0.90488     | 0.00000 | 0.00000 |      0.45869       |     0.47891      |
|   21  |    Generator     |      0.70348       |    0.90102     | 0.00000 | 0.00000 |      0.38614       |     0.43966      |
|   22  |  Discriminator   |      0.70648       |    0.90810     | 0.00000 | 0.00000 |      0.39862       |     0.42881      |
|   23  |  Discriminator   |      0.70405       |    0.90325     | 0.00000 | 0.00000 |      0.55957       |     0.56919      |
|   24  |  Discriminator   |      0.70527       |    0.89685     | 0.00000 | 0.00000 |      0.56544       |     0.64593      |
|   25  |  Discriminator   |      0.69726       |    0.89713     | 0.00000 | 0.00000 |      0.45975       |     0.49925      |
|   26  |  Discriminator   |      0.69942       |    0.90185     | 0.00000 | 0.00000 |      0.39281       |     0.43922      |
|   27  |    Generator     |      0.69942       |    0.89569     | 0.00000 | 0.00000 |      0.43064       |     0.46449      |
|   28  |    Generator     |      0.69942       |    0.88674     | 0.00000 | 0.00000 |      0.33881       |     0.39141      |
|   29  |  Discriminator   |      0.69986       |    0.88724     | 0.00000 | 0.00000 |      0.37514       |     0.42437      |
|   30  |  Discriminator   |      0.69761       |    0.88636     | 0.00000 | 0.00000 |      0.53031       |     0.55121      |
|   31  |  Discriminator   |      0.70233       |    0.88663     | 0.00000 | 0.00000 |      0.55734       |     0.57378      |
|   32  |  Discriminator   |      0.69412       |    0.88208     | 0.00000 | 0.00000 |      0.37574       |     0.42880      |
|   33  |  Discriminator   |      0.69149       |    0.89723     | 0.00000 | 0.00000 |      0.37457       |     0.43062      |
|   34  |    Generator     |      0.69149       |    0.88032     | 0.00000 | 0.00000 |      0.35102       |     0.40800      |
|   35  |    Generator     |      0.69149       |    0.87207     | 0.00000 | 0.00000 |      0.50781       |     0.50617      |
|   36  |  Discriminator   |      0.69772       |    0.87114     | 0.00000 | 0.00000 |      0.40934       |     0.44054      |
|   37  |  Discriminator   |      0.69552       |    0.87772     | 0.00000 | 0.00000 |      0.48876       |     0.49996      |
|   38  |  Discriminator   |      0.68783       |    0.87289     | 0.00000 | 0.00000 |      0.40378       |     0.45114      |
|   39  |  Discriminator   |      0.68291       |    0.88497     | 0.00000 | 0.00000 |      0.61236       |     0.59585      |
|   40  |  Discriminator   |      0.68457       |    0.89213     | 0.00000 | 0.00000 |      0.47754       |     0.50067      |
|   41  |    Generator     |      0.68457       |    0.88842     | 0.00000 | 0.00000 |      0.43164       |     0.43163      |
|   42  |    Generator     |      0.68457       |    0.86349     | 0.00000 | 0.00000 |      0.43372       |     0.46848      |
|   43  |  Discriminator   |      0.69433       |    0.86447     | 0.00000 | 0.00000 |      0.47746       |     0.48104      |
|   44  |  Discriminator   |      0.68351       |    0.87300     | 0.00000 | 0.00000 |      0.40986       |     0.43417      |
