Epoch,Machine Training,Discriminator Loss,Generator Loss,FPR,Recall,Median Wasserstein,Mean Wasserstein
1,Discriminator,0.73819,0.97853,0.00000,0.00000,0.49012,0.49132
2,Discriminator,0.72842,0.96960,0.00000,0.00000,0.47355,0.49850
3,Discriminator,0.72603,0.96523,0.00000,0.00000,0.51524,0.48322
4,Discriminator,0.72129,0.96611,0.00000,0.00000,0.52988,0.56546
5,Discriminator,0.72443,0.94905,0.00000,0.00000,0.44071,0.42976
6,Generator,0.72443,0.95695,0.00000,0.00000,0.59396,0.58801
7,Generator,0.72443,0.96323,0.00000,0.00000,0.43731,0.47089
8,Discriminator,0.72464,0.94796,0.00000,0.00000,0.47110,0.48861
9,Discriminator,0.71727,0.94055,0.00000,0.00000,0.40581,0.44315
10,Discriminator,0.71965,0.94454,0.00000,0.00000,0.41093,0.43324
11,Discriminator,0.71713,0.94139,0.00000,0.00000,0.43030,0.46272
12,Discriminator,0.71121,0.94119,0.00000,0.00000,0.52313,0.51320
13,Generator,0.71121,0.93076,0.00000,0.00000,0.43212,0.46462
14,Generator,0.71121,0.92506,0.00000,0.00000,0.48269,0.51150
15,Discriminator,0.71342,0.92748,0.00000,0.00000,0.53662,0.52812
16,Discriminator,0.71037,0.92338,0.00000,0.00000,0.50015,0.51144
17,Discriminator,0.71271,0.92168,0.00000,0.00000,0.83455,0.82822
18,Discriminator,0.71018,0.91324,0.00000,0.00000,0.39576,0.46683
19,Discriminator,0.70848,0.91811,0.00000,0.00000,0.46493,0.50837
20,Generator,0.70848,0.91579,0.00000,0.00000,0.58062,0.57660
21,Generator,0.70848,0.89908,0.00000,0.00000,0.37494,0.41910
22,Discriminator,0.70917,0.90653,0.00000,0.00000,0.36377,0.43003
23,Discriminator,0.70745,0.90199,0.00000,0.00000,0.38815,0.44821
24,Discriminator,0.69792,0.90795,0.00000,0.00000,0.49299,0.50250
25,Discriminator,0.70299,0.89888,0.00000,0.00000,0.40821,0.46321
26,Discriminator,0.69968,0.89525,0.00000,0.00000,0.36034,0.41708
27,Generator,0.69968,0.89632,0.00000,0.00000,0.51685,0.58401
28,Generator,0.69968,0.88975,0.00000,0.00000,0.49609,0.51740
29,Discriminator,0.70017,0.88816,0.00000,0.00000,0.59553,0.59235
30,Discriminator,0.69599,0.88716,0.00000,0.00000,0.50464,0.49788
31,Discriminator,0.69695,0.89390,0.00000,0.00000,0.47534,0.46798
32,Discriminator,0.69128,0.88809,0.00000,0.00000,0.48057,0.46776
33,Discriminator,0.68859,0.88929,0.00000,0.00000,0.35271,0.40629
34,Generator,0.68859,0.88195,0.00000,0.00000,0.39088,0.41419
35,Generator,0.68859,0.87538,0.00000,0.00000,0.54244,0.53329
36,Discriminator,0.69403,0.88453,0.00000,0.00000,0.48880,0.48955
37,Discriminator,0.68918,0.87890,0.00000,0.00000,0.35843,0.40507
38,Discriminator,0.68520,0.87829,0.00000,0.00000,0.41382,0.43283
39,Discriminator,0.68232,0.89387,0.00000,0.00000,0.46142,0.44910
40,Discriminator,0.68413,0.89335,0.00000,0.00000,0.53070,0.55257
41,Generator,0.68413,0.87925,0.00000,0.00000,0.44682,0.44796
42,Generator,0.68413,0.85844,0.00000,0.00000,0.37599,0.41863
43,Discriminator,0.68578,0.86513,0.00000,0.00000,0.36437,0.38625
44,Discriminator,0.68899,0.87651,0.00000,0.00000,0.35051,0.38847
45,Discriminator,0.68069,0.87572,0.00000,0.00000,0.29052,0.34941
46,Discriminator,0.67510,0.89901,0.00000,0.00000,0.38379,0.43634
47,Discriminator,0.66784,0.90452,0.00000,0.00000,0.47691,0.49652
48,Generator,0.66784,0.89054,0.00000,0.00000,0.31766,0.36506
49,Generator,0.66784,0.85881,0.00000,0.00000,0.35336,0.38950
50,Discriminator,0.68524,0.85923,0.00000,0.00000,0.28735,0.35498
51,Discriminator,0.67805,0.86249,0.00000,0.00000,0.24433,0.31320
52,Discriminator,0.67456,0.87427,0.00000,0.11538,0.43663,0.44519
53,Discriminator,0.67181,0.86872,0.03846,0.03846,0.41411,0.42819
54,Discriminator,0.66673,0.88651,0.00000,0.03846,0.42081,0.43895
55,Generator,0.66673,0.86599,0.03846,0.00000,0.47785,0.51402
56,Generator,0.66673,0.82412,0.03846,0.07692,0.75351,0.74810
57,Discriminator,0.68340,0.83358,0.03846,0.03846,0.27580,0.31574
58,Discriminator,0.67152,0.83798,0.00000,0.19231,0.26866,0.31518
59,Discriminator,0.68146,0.84138,0.00000,0.15385,0.37636,0.42869
60,Discriminator,0.67110,0.84251,0.11538,0.15385,0.37901,0.40352
