+-------+------------------+--------------------+----------------+---------+---------+--------------------+------------------+
| Epoch | Machine Training | Discriminator Loss | Generator Loss |   FPR   |  Recall | Median Wasserstein | Mean Wasserstein |
+-------+------------------+--------------------+----------------+---------+---------+--------------------+------------------+
|   1   |  Discriminator   |      0.71265       |    0.50533     | 1.00000 | 1.00000 |      0.45461       |     0.46438      |
|   2   |  Discriminator   |      0.71246       |    0.50543     | 1.00000 | 1.00000 |      0.44554       |     0.46260      |
|   3   |  Discriminator   |      0.71250       |    0.50558     | 1.00000 | 1.00000 |      0.44871       |     0.46258      |
|   4   |  Discriminator   |      0.71225       |    0.50547     | 1.00000 | 1.00000 |      0.45318       |     0.46289      |
|   5   |  Discriminator   |      0.71225       |    0.50597     | 1.00000 | 1.00000 |      0.44577       |     0.46283      |
|   6   |  Discriminator   |      0.71225       |    0.50594     | 1.00000 | 1.00000 |      0.44933       |     0.46265      |
|   7   |  Discriminator   |      0.71242       |    0.50597     | 1.00000 | 1.00000 |      0.45674       |     0.46388      |
|   8   |  Discriminator   |      0.71256       |    0.50636     | 1.00000 | 1.00000 |      0.45226       |     0.46380      |
|   9   |  Discriminator   |      0.71211       |    0.50624     | 1.00000 | 1.00000 |      0.45360       |     0.46207      |
|   10  |  Discriminator   |      0.71218       |    0.50625     | 1.00000 | 1.00000 |      0.44875       |     0.46272      |
|   11  |  Discriminator   |      0.71218       |    0.50603     | 1.00000 | 1.00000 |      0.44767       |     0.46273      |
|   12  |  Discriminator   |      0.71218       |    0.50591     | 1.00000 | 1.00000 |      0.45108       |     0.46264      |
|   13  |  Discriminator   |      0.71243       |    0.50637     | 1.00000 | 1.00000 |      0.44853       |     0.46221      |
|   14  |  Discriminator   |      0.71225       |    0.50626     | 1.00000 | 1.00000 |      0.45184       |     0.46198      |
|   15  |  Discriminator   |      0.71192       |    0.50696     | 1.00000 | 1.00000 |      0.44852       |     0.46163      |
|   16  |  Discriminator   |      0.71203       |    0.50655     | 1.00000 | 1.00000 |      0.44846       |     0.46208      |
|   17  |  Discriminator   |      0.71203       |    0.50638     | 1.00000 | 1.00000 |      0.44758       |     0.46217      |
|   18  |  Discriminator   |      0.71203       |    0.50659     | 1.00000 | 1.00000 |      0.45054       |     0.46211      |
|   19  |  Discriminator   |      0.71210       |    0.50653     | 1.00000 | 1.00000 |      0.45136       |     0.46284      |
|   20  |  Discriminator   |      0.71226       |    0.50661     | 1.00000 | 1.00000 |      0.44831       |     0.46204      |
|   21  |  Discriminator   |      0.71202       |    0.50685     | 1.00000 | 1.00000 |      0.45140       |     0.46270      |
|   22  |  Discriminator   |      0.71210       |    0.50714     | 1.00000 | 1.00000 |      0.44843       |     0.46231      |
|   23  |  Discriminator   |      0.71195       |    0.50672     | 1.00000 | 1.00000 |      0.44805       |     0.46173      |
|   24  |  Discriminator   |      0.71200       |    0.50742     | 1.00000 | 1.00000 |      0.44783       |     0.46136      |
|   25  |  Discriminator   |      0.71157       |    0.50740     | 1.00000 | 1.00000 |      0.45292       |     0.46165      |
|   26  |  Discriminator   |      0.71161       |    0.50761     | 1.00000 | 1.00000 |      0.45532       |     0.46172      |
|   27  |  Discriminator   |      0.71164       |    0.50733     | 1.00000 | 1.00000 |      0.44901       |     0.46083      |
|   28  |  Discriminator   |      0.71185       |    0.50766     | 1.00000 | 1.00000 |      0.45326       |     0.46233      |
