Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.72431,10.03079,0.50000,1.00000,1.00000,0.32827,0.32954
2,DISC,0.72388,10.03079,0.50000,1.00000,1.00000,0.34104,0.33345
3,DISC,0.72353,10.03079,0.50000,1.00000,1.00000,0.33494,0.33126
4,DISC,0.72315,10.03079,0.50000,1.00000,1.00000,0.34668,0.33632
5,DISC,0.72277,10.03079,0.50000,1.00000,1.00000,0.33644,0.33000
6,GEN,0.72277,10.35830,0.50000,1.00000,1.00000,0.32885,0.33817
7,GEN,0.72277,9.26776,0.50000,1.00000,1.00000,0.32620,0.32666
8,DISC,0.72226,9.26776,0.50000,1.00000,1.00000,0.33805,0.32562
9,DISC,0.72194,9.26776,0.50000,1.00000,1.00000,0.33506,0.33759
10,DISC,0.72161,9.26776,0.50000,1.00000,1.00000,0.33448,0.34139
11,DISC,0.72116,9.26776,0.50000,1.00000,1.00000,0.33598,0.32908
12,DISC,0.72079,9.26776,0.50000,1.00000,1.00000,0.32378,0.34024
13,GEN,0.72079,8.72189,0.50000,1.00000,1.00000,0.33563,0.32528
14,GEN,0.72079,8.21581,0.50000,1.00000,1.00000,0.32539,0.33851
15,DISC,0.72037,8.21581,0.50000,1.00000,1.00000,0.32735,0.33552
16,DISC,0.72006,8.21581,0.50000,1.00000,1.00000,0.32712,0.33667
17,DISC,0.71954,8.21581,0.50000,1.00000,1.00000,0.32781,0.33034
18,DISC,0.71905,8.21581,0.50000,1.00000,1.00000,0.32700,0.33241
19,DISC,0.71867,8.21581,0.50000,1.00000,1.00000,0.33138,0.33632
20,GEN,0.71867,7.83054,0.50000,1.00000,1.00000,0.33322,0.33264
21,GEN,0.71867,7.63679,0.50000,1.00000,1.00000,0.33506,0.33368
22,DISC,0.71831,7.63679,0.50000,1.00000,1.00000,0.33955,0.33046
23,DISC,0.71780,7.63679,0.50000,1.00000,1.00000,0.32677,0.33609
24,DISC,0.71737,7.63679,0.50000,1.00000,1.00000,0.32977,0.33368
25,DISC,0.71679,7.63679,0.50000,1.00000,1.00000,0.32931,0.33840
26,DISC,0.71633,7.63679,0.50000,1.00000,1.00000,0.33471,0.33725
27,GEN,0.71633,7.26097,0.50000,1.00000,1.00000,0.32516,0.33276
28,GEN,0.71633,6.83204,0.50000,1.00000,1.00000,0.32217,0.32793
29,DISC,0.71578,6.83204,0.50000,1.00000,1.00000,0.33333,0.33161
30,DISC,0.71522,6.83204,0.50000,1.00000,1.00000,0.32332,0.33886
31,DISC,0.71485,6.83204,0.50000,1.00000,1.00000,0.32885,0.34070
32,DISC,0.71431,6.83204,0.50000,1.00000,1.00000,0.32183,0.33299
33,DISC,0.71368,6.83204,0.50000,1.00000,1.00000,0.32954,0.33609
34,DISC,0.71285,6.83204,0.50000,1.00000,1.00000,0.32505,0.33817
35,DISC,0.71233,6.83204,0.50000,1.00000,1.00000,0.32424,0.34634
36,DISC,0.71166,6.83204,0.50000,1.00000,1.00000,0.32954,0.32793
37,DISC,0.71099,6.83204,0.50000,1.00000,1.00000,0.32931,0.32977
38,DISC,0.71020,6.83204,0.50000,1.00000,1.00000,0.33172,0.34012
39,DISC,0.70950,6.83204,0.50000,1.00000,1.00000,0.32747,0.32885
40,DISC,0.70859,6.83204,0.50000,1.00000,1.00000,0.32355,0.33195
41,DISC,0.70774,6.83204,0.50000,1.00000,1.00000,0.32827,0.33368
42,DISC,0.70687,6.83204,0.50000,1.00000,1.00000,0.32724,0.33817
43,DISC,0.70579,6.83204,0.50000,1.00000,1.00000,0.33080,0.33414
44,DISC,0.70508,6.83204,0.50000,1.00000,1.00000,0.33000,0.33322
45,DISC,0.70375,6.83204,0.50000,1.00000,1.00000,0.32988,0.33552
46,DISC,0.70290,6.83204,0.50000,1.00000,1.00000,0.32620,0.32988
47,DISC,0.70164,6.83204,0.50000,1.00000,1.00000,0.33184,0.32850
48,DISC,0.70067,6.83204,0.50000,1.00000,1.00000,0.32493,0.33759
49,DISC,0.69924,6.83204,0.50000,1.00000,1.00000,0.33299,0.33609
50,DISC,0.69813,6.83204,0.50000,1.00000,1.00000,0.33195,0.33448
