+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
| Epoch | Training | Discriminator Loss | Generator Loss | D_Accuracy |  D_fpR  | D_Recall |  A_fpR  |  U_fpR  |
+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
|   1   |   DISC   |      0.68191       |    99.30122    |  0.50000   | 1.00000 | 1.00000  | 0.32203 | 0.25424 |
|   2   |   DISC   |      0.68139       |    99.30122    |  0.50000   | 1.00000 | 1.00000  | 0.34823 | 0.26810 |
|   3   |   DISC   |      0.68059       |    99.30122    |  0.50000   | 1.00000 | 1.00000  | 0.33128 | 0.26040 |
|   4   |   DISC   |      0.68091       |    99.30122    |  0.50000   | 1.00000 | 1.00000  | 0.33282 | 0.24345 |
|   5   |   DISC   |      0.68001       |    99.30122    |  0.50000   | 1.00000 | 1.00000  | 0.33436 | 0.26194 |
|   6   |   GEN    |      0.68001       |   101.01155    |  0.50000   | 1.00000 | 1.00000  | 0.32666 | 0.22342 |
|   7   |   GEN    |      0.68001       |    98.44833    |  0.50000   | 1.00000 | 1.00000  | 0.29584 | 0.23267 |
|   8   |   DISC   |      0.68002       |    98.44833    |  0.50000   | 1.00000 | 1.00000  | 0.32820 | 0.24807 |
|   9   |   DISC   |      0.68016       |    98.44833    |  0.50000   | 1.00000 | 1.00000  | 0.29892 | 0.26502 |
|   10  |   DISC   |      0.67871       |    98.44833    |  0.50000   | 1.00000 | 1.00000  | 0.29430 | 0.24345 |
|   11  |   DISC   |      0.67879       |    98.44833    |  0.50000   | 1.00000 | 1.00000  | 0.30200 | 0.26040 |
|   12  |   DISC   |      0.67778       |    98.44833    |  0.50000   | 1.00000 | 1.00000  | 0.28814 | 0.28351 |
|   13  |   GEN    |      0.67778       |   101.25095    |  0.50000   | 1.00000 | 1.00000  | 0.32820 | 0.26348 |
|   14  |   GEN    |      0.67778       |    93.47290    |  0.50000   | 1.00000 | 1.00000  | 0.29584 | 0.24037 |
|   15  |   DISC   |      0.67794       |    93.47290    |  0.50000   | 1.00000 | 1.00000  | 0.29584 | 0.23729 |
