Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.69644,104.24989,0.50000,1.00000,1.00000,0.35096,0.14403
2,DISC,0.69616,104.24989,0.50000,1.00000,1.00000,0.34002,0.12306
3,DISC,0.69633,104.24989,0.50000,1.00000,1.00000,0.35369,0.14312
4,DISC,0.69586,104.24989,0.50000,1.00000,1.00000,0.34275,0.12580
5,DISC,0.69586,104.24989,0.50000,1.00000,1.00000,0.34002,0.13491
6,GEN,0.69586,102.09267,0.50000,1.00000,1.00000,0.32270,0.13947
7,GEN,0.69586,98.89276,0.50000,1.00000,1.00000,0.32817,0.15132
8,DISC,0.69540,98.89276,0.50000,1.00000,1.00000,0.34275,0.14950
9,DISC,0.69544,98.89276,0.50000,1.00000,1.00000,0.34640,0.13674
10,DISC,0.69502,98.89276,0.50000,1.00000,1.00000,0.32179,0.15314
11,DISC,0.69480,98.89276,0.50000,1.00000,1.00000,0.32634,0.13309
12,DISC,0.69483,98.89276,0.50000,1.00000,1.00000,0.36098,0.15041
13,GEN,0.69483,97.78528,0.50000,1.00000,1.00000,0.33546,0.14403
14,GEN,0.69483,96.55989,0.50000,1.00000,1.00000,0.30629,0.12944
15,DISC,0.69486,96.55989,0.50000,1.00000,1.00000,0.36281,0.13400
16,DISC,0.69464,96.55989,0.50000,1.00000,1.00000,0.33273,0.13127
17,DISC,0.69446,96.55989,0.50000,1.00000,1.00000,0.34458,0.12397
18,DISC,0.69426,96.55989,0.50000,1.00000,1.00000,0.34275,0.14676
19,DISC,0.69393,96.55989,0.50000,1.00000,1.00000,0.35187,0.13674
20,GEN,0.69393,99.57574,0.50000,1.00000,1.00000,0.31632,0.14221
21,GEN,0.69393,99.12094,0.50000,1.00000,1.00000,0.33820,0.14221
22,DISC,0.69434,99.12094,0.50000,1.00000,1.00000,0.32908,0.15132
23,DISC,0.69392,99.12094,0.50000,1.00000,1.00000,0.33090,0.14494
24,DISC,0.69356,99.12094,0.50000,1.00000,1.00000,0.34275,0.14768
25,DISC,0.69299,99.12094,0.50000,1.00000,1.00000,0.32908,0.15861
26,DISC,0.69324,99.12094,0.50000,1.00000,1.00000,0.36281,0.14038
27,GEN,0.69324,100.62434,0.50000,1.00000,1.00000,0.31905,0.15223
28,GEN,0.69324,90.96736,0.50000,1.00000,1.00000,0.32999,0.13491
29,DISC,0.69296,90.96736,0.50000,1.00000,1.00000,0.37284,0.14585
30,DISC,0.69312,90.96736,0.50000,1.00000,1.00000,0.32088,0.14768
31,DISC,0.69323,90.96736,0.50000,1.00000,1.00000,0.38742,0.13309
32,DISC,0.69238,90.96736,0.50000,1.00000,1.00000,0.34822,0.12762
33,DISC,0.69250,90.96736,0.50000,1.00000,1.00000,0.35734,0.14859
34,DISC,0.69220,90.96736,0.50000,1.00000,1.00000,0.36463,0.15953
35,DISC,0.69209,90.96736,0.50000,1.00000,1.00000,0.36919,0.14312
