Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.66496,120.46877,0.51579,0.45058,0.48216,0.33831,0.32338
2,DISC,0.66408,120.46877,0.51607,0.45056,0.48271,0.34080,0.32090
3,DISC,0.66357,120.46877,0.51630,0.45065,0.48326,0.35572,0.29104
4,DISC,0.66331,120.46877,0.51660,0.45061,0.48381,0.33333,0.29851
5,DISC,0.66244,120.46877,0.51686,0.45064,0.48436,0.31095,0.32587
6,GEN,0.66244,109.20683,0.51674,0.45087,0.48436,0.29353,0.30846
7,GEN,0.66244,116.00542,0.51669,0.45099,0.48436,0.32338,0.36816
8,DISC,0.66295,116.00542,0.51692,0.45108,0.48492,0.30846,0.37562
9,DISC,0.66271,116.00542,0.51720,0.45108,0.48547,0.34826,0.34328
10,DISC,0.66146,116.00542,0.51748,0.45108,0.48603,0.30597,0.30846
11,DISC,0.66114,116.00542,0.51772,0.45115,0.48659,0.33085,0.34328
12,DISC,0.65974,116.00542,0.51796,0.45122,0.48715,0.32090,0.31592
13,GEN,0.65974,107.05444,0.51790,0.45134,0.48715,0.32338,0.31095
14,GEN,0.65974,117.59439,0.51780,0.45155,0.48715,0.30597,0.33085
15,DISC,0.66123,117.59439,0.51805,0.45162,0.48771,0.31095,0.30597
16,DISC,0.66007,117.59439,0.51835,0.45158,0.48827,0.33831,0.33582
17,DISC,0.65653,117.59439,0.51854,0.45176,0.48884,0.36318,0.37313
18,DISC,0.65856,117.59439,0.51885,0.45172,0.48941,0.39303,0.33831
19,DISC,0.65667,117.59439,0.51909,0.45180,0.48998,0.31592,0.35821
20,GEN,0.65667,111.18323,0.51898,0.45202,0.48998,0.30100,0.35572
21,GEN,0.65667,106.19417,0.51897,0.45205,0.48998,0.34826,0.33582
22,DISC,0.65792,106.19417,0.51920,0.45216,0.49056,0.35075,0.33831
23,DISC,0.65991,106.19417,0.51943,0.45228,0.49113,0.33085,0.39801
24,DISC,0.65637,106.19417,0.51970,0.45230,0.49170,0.30597,0.36318
25,DISC,0.65589,106.19417,0.51996,0.45235,0.49228,0.34080,0.36070
26,DISC,0.65712,106.19417,0.52022,0.45242,0.49286,0.33582,0.31095
27,GEN,0.65712,111.55635,0.52016,0.45254,0.49286,0.34080,0.40050
28,GEN,0.65712,112.35869,0.52009,0.45268,0.49286,0.30846,0.32587
29,DISC,0.65668,112.35869,0.52033,0.45277,0.49344,0.32836,0.33582
30,DISC,0.65498,112.35869,0.52060,0.45283,0.49402,0.28109,0.33333
31,DISC,0.65352,112.35869,0.52091,0.45279,0.49461,0.32338,0.34577
32,DISC,0.65302,112.35869,0.52109,0.45300,0.49519,0.29602,0.36070
33,DISC,0.65456,112.35869,0.52149,0.45279,0.49578,0.31343,0.31095
34,DISC,0.65221,112.35869,0.52180,0.45278,0.49637,0.30100,0.37065
35,DISC,0.65271,112.35869,0.52195,0.45306,0.49697,0.31343,0.32090
36,DISC,0.65091,112.35869,0.52228,0.45300,0.49756,0.33582,0.33333
37,DISC,0.65175,112.35869,0.52257,0.45301,0.49816,0.32338,0.30348
38,DISC,0.65000,112.35869,0.52281,0.45314,0.49876,0.33831,0.34577
39,DISC,0.64932,112.35869,0.52309,0.45318,0.49936,0.30100,0.30597
40,DISC,0.64879,112.35869,0.52341,0.45314,0.49996,0.32587,0.34826
41,DISC,0.64859,112.35869,0.52371,0.45315,0.50057,0.31841,0.34328
42,DISC,0.64840,112.35869,0.52402,0.45314,0.50118,0.32587,0.31592
43,DISC,0.64631,112.35869,0.52425,0.45330,0.50179,0.32587,0.27612
44,DISC,0.64631,112.35869,0.52454,0.45333,0.50240,0.35075,0.36567
45,DISC,0.64869,112.35869,0.52489,0.45325,0.50302,0.35821,0.31841
46,DISC,0.64653,112.35869,0.52505,0.45354,0.50364,0.32090,0.35572
47,DISC,0.64440,112.35869,0.52538,0.45349,0.50426,0.31841,0.38060
48,DISC,0.64294,112.35869,0.52574,0.45339,0.50488,0.34577,0.26368
49,DISC,0.64373,112.35869,0.52599,0.45352,0.50550,0.30348,0.33085
50,DISC,0.64449,112.35869,0.52626,0.45360,0.50613,0.30100,0.36070
51,DISC,0.64278,112.35869,0.52663,0.45349,0.50676,0.30597,0.34328
52,DISC,0.64217,112.35869,0.52691,0.45356,0.50739,0.33333,0.32090
53,DISC,0.64147,112.35869,0.52723,0.45357,0.50802,0.31841,0.33831
54,DISC,0.64311,112.35869,0.52748,0.45370,0.50866,0.29104,0.31592
55,DISC,0.64062,112.35869,0.52784,0.45360,0.50929,0.32587,0.37313
56,DISC,0.63970,112.35869,0.52811,0.45371,0.50993,0.34080,0.31343
57,DISC,0.63868,112.35869,0.52838,0.45381,0.51057,0.36070,0.34328
58,DISC,0.64007,112.35869,0.52881,0.45359,0.51121,0.34826,0.34328
59,DISC,0.64055,112.35869,0.52904,0.45378,0.51185,0.34826,0.31343
60,DISC,0.63700,112.35869,0.52941,0.45369,0.51250,0.32836,0.34577
61,DISC,0.63732,112.35869,0.52967,0.45382,0.51315,0.35075,0.35323
62,DISC,0.63828,112.35869,0.52992,0.45395,0.51379,0.33831,0.33085
63,DISC,0.63624,112.35869,0.53029,0.45386,0.51445,0.31841,0.35572
