Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.70817,45.11195,0.50000,1.00000,1.00000,0.33333,0.32727
2,DISC,0.70578,45.11195,0.50000,1.00000,1.00000,0.29091,0.34747
3,DISC,0.70582,45.11195,0.50000,1.00000,1.00000,0.32323,0.35152
4,DISC,0.70502,45.11195,0.50000,1.00000,1.00000,0.30909,0.32323
5,DISC,0.70443,45.11195,0.50000,1.00000,1.00000,0.33131,0.35758
6,GEN,0.70443,42.28315,0.50000,1.00000,1.00000,0.36162,0.34949
7,GEN,0.70443,42.97929,0.50000,1.00000,1.00000,0.34747,0.28687
8,DISC,0.70344,42.97929,0.50000,1.00000,1.00000,0.34141,0.31313
9,DISC,0.70172,42.97929,0.50000,1.00000,1.00000,0.30909,0.32525
10,DISC,0.70244,42.97929,0.50000,1.00000,1.00000,0.34141,0.33131
11,DISC,0.70160,42.97929,0.50000,1.00000,1.00000,0.32929,0.32121
12,DISC,0.70143,42.97929,0.50000,1.00000,1.00000,0.33737,0.31111
13,GEN,0.70143,42.54905,0.50000,1.00000,1.00000,0.31919,0.31919
14,GEN,0.70143,41.86618,0.50000,1.00000,1.00000,0.32929,0.29091
15,DISC,0.70025,41.86618,0.50000,1.00000,1.00000,0.31515,0.34949
16,DISC,0.69962,41.86618,0.50000,1.00000,1.00000,0.31919,0.31717
17,DISC,0.69964,41.86618,0.50000,1.00000,1.00000,0.35152,0.32323
18,DISC,0.69725,41.86618,0.50000,1.00000,1.00000,0.34141,0.34747
19,DISC,0.69815,41.86618,0.50000,1.00000,1.00000,0.32727,0.28687
20,GEN,0.69815,42.12835,0.50000,1.00000,1.00000,0.29899,0.34141
21,GEN,0.69815,39.86677,0.50000,1.00000,1.00000,0.34545,0.31919
22,DISC,0.69777,39.86677,0.50000,1.00000,1.00000,0.35556,0.33939
23,DISC,0.69593,39.86677,0.50000,1.00000,1.00000,0.31919,0.32727
24,DISC,0.69547,39.86677,0.50000,1.00000,1.00000,0.36970,0.28687
25,DISC,0.69554,39.86677,0.50000,1.00000,1.00000,0.34141,0.34343
26,DISC,0.69472,39.86677,0.50000,1.00000,1.00000,0.31919,0.34141
27,GEN,0.69472,40.09769,0.50000,1.00000,1.00000,0.33939,0.33939
28,GEN,0.69472,40.08981,0.50000,1.00000,1.00000,0.28485,0.33939
29,DISC,0.69393,40.08981,0.50000,1.00000,1.00000,0.34545,0.34141
30,DISC,0.69348,40.08981,0.50000,1.00000,1.00000,0.32323,0.34343
31,DISC,0.69339,40.08981,0.50000,1.00000,1.00000,0.33535,0.31717
32,DISC,0.69260,40.08981,0.50000,1.00000,1.00000,0.30909,0.33737
33,DISC,0.69090,40.08981,0.50000,1.00000,1.00000,0.36364,0.32525
34,DISC,0.69165,40.08981,0.50000,1.00000,1.00000,0.32121,0.32121
35,DISC,0.69179,40.08981,0.50000,1.00000,1.00000,0.31515,0.33333
36,DISC,0.69015,40.08981,0.50000,1.00000,1.00000,0.29899,0.28889
37,DISC,0.69010,40.08981,0.50000,1.00000,1.00000,0.35556,0.37576
38,DISC,0.68970,40.08981,0.50000,1.00000,1.00000,0.29697,0.33333
39,DISC,0.68980,40.08981,0.50000,1.00000,1.00000,0.39192,0.35556
40,DISC,0.68889,40.08981,0.50000,1.00000,1.00000,0.31111,0.30101
41,DISC,0.68790,40.08981,0.50000,1.00000,1.00000,0.31919,0.33131
42,DISC,0.68733,40.08981,0.50000,1.00000,1.00000,0.32323,0.34141
43,DISC,0.68683,40.08981,0.50000,1.00000,1.00000,0.35960,0.29697
44,DISC,0.68656,40.08981,0.50000,1.00000,1.00000,0.32121,0.34747
45,DISC,0.68578,40.08981,0.50000,1.00000,1.00000,0.35152,0.33131
46,DISC,0.68493,40.08981,0.50000,1.00000,1.00000,0.35354,0.36566
47,DISC,0.68509,40.08981,0.50000,1.00000,1.00000,0.30505,0.29293
48,DISC,0.68378,40.08981,0.50000,1.00000,1.00000,0.26667,0.33939
49,DISC,0.68332,40.08981,0.50000,1.00000,1.00000,0.35354,0.35556
50,DISC,0.68371,40.08981,0.50000,1.00000,1.00000,0.37980,0.30101
51,DISC,0.68404,40.08981,0.50000,1.00000,1.00000,0.30303,0.30707
52,DISC,0.68257,40.08981,0.50000,1.00000,1.00000,0.35758,0.32323
53,DISC,0.68198,40.08981,0.50000,1.00000,1.00000,0.33535,0.33939
54,DISC,0.68178,40.08981,0.50000,1.00000,1.00000,0.33333,0.33939
55,DISC,0.68065,40.08981,0.50000,1.00000,1.00000,0.33939,0.35960
56,DISC,0.68124,40.08981,0.50000,1.00000,1.00000,0.32929,0.34545
57,DISC,0.68004,40.08981,0.50000,1.00000,1.00000,0.32121,0.36566
58,DISC,0.68012,40.08981,0.50000,1.00000,1.00000,0.32727,0.33737
59,DISC,0.67940,40.08981,0.50000,1.00000,1.00000,0.32121,0.31919
60,DISC,0.67903,40.08981,0.50000,1.00000,1.00000,0.37576,0.33939
61,DISC,0.67859,40.08981,0.50000,1.00000,1.00000,0.35556,0.32929
62,DISC,0.67780,40.08981,0.50000,1.00000,1.00000,0.35152,0.30909
63,DISC,0.67797,40.08981,0.50000,1.00000,1.00000,0.28485,0.33939
64,DISC,0.67702,40.08981,0.50000,1.00000,1.00000,0.33535,0.31313
65,DISC,0.67674,40.08981,0.50000,1.00000,1.00000,0.30303,0.31717
66,DISC,0.67670,40.08981,0.50000,1.00000,1.00000,0.35354,0.35758
67,DISC,0.67641,40.08981,0.50000,1.00000,1.00000,0.33131,0.34545
68,DISC,0.67517,40.08981,0.50000,1.00000,1.00000,0.35960,0.31111
69,DISC,0.67495,40.08981,0.50000,1.00000,1.00000,0.35960,0.33131
70,DISC,0.67482,40.08981,0.50000,1.00000,1.00000,0.37374,0.32727
71,DISC,0.67390,40.08981,0.50000,1.00000,1.00000,0.30707,0.33131
