+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
| Epoch | Training | Discriminator Loss | Generator Loss | D_Accuracy |  D_fpR  | D_Recall |  A_fpR  |  U_fpR  |
+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
|   1   |   DISC   |      0.68868       |   127.50349    |  0.50000   | 1.00000 | 1.00000  | 0.32471 | 0.29882 |
|   2   |   DISC   |      0.68836       |   127.50349    |  0.50000   | 1.00000 | 1.00000  | 0.31765 | 0.37176 |
|   3   |   DISC   |      0.68754       |   127.50349    |  0.50000   | 1.00000 | 1.00000  | 0.30588 | 0.31294 |
|   4   |   DISC   |      0.68685       |   127.50349    |  0.50000   | 1.00000 | 1.00000  | 0.36235 | 0.30353 |
|   5   |   DISC   |      0.68712       |   127.50349    |  0.50000   | 1.00000 | 1.00000  | 0.33412 | 0.33882 |
|   6   |   GEN    |      0.68712       |   116.29922    |  0.50000   | 1.00000 | 1.00000  | 0.29412 | 0.34824 |
|   7   |   GEN    |      0.68712       |   123.17242    |  0.50000   | 1.00000 | 1.00000  | 0.32941 | 0.32000 |
|   8   |   DISC   |      0.68579       |   123.17242    |  0.50000   | 1.00000 | 1.00000  | 0.32235 | 0.31765 |
|   9   |   DISC   |      0.68589       |   123.17242    |  0.50000   | 1.00000 | 1.00000  | 0.29882 | 0.34118 |
|   10  |   DISC   |      0.68639       |   123.17242    |  0.50000   | 1.00000 | 1.00000  | 0.34588 | 0.32941 |
|   11  |   DISC   |      0.68624       |   123.17242    |  0.50000   | 1.00000 | 1.00000  | 0.32706 | 0.36235 |
|   12  |   DISC   |      0.68640       |   123.17242    |  0.50000   | 1.00000 | 1.00000  | 0.31529 | 0.29176 |
|   13  |   GEN    |      0.68640       |   120.31010    |  0.50000   | 1.00000 | 1.00000  | 0.33882 | 0.34118 |
|   14  |   GEN    |      0.68640       |   117.53443    |  0.50000   | 1.00000 | 1.00000  | 0.29647 | 0.33412 |
|   15  |   DISC   |      0.68628       |   117.53443    |  0.50000   | 1.00000 | 1.00000  | 0.31059 | 0.38118 |
|   16  |   DISC   |      0.68523       |   117.53443    |  0.50000   | 1.00000 | 1.00000  | 0.30824 | 0.34353 |
|   17  |   DISC   |      0.68552       |   117.53443    |  0.50000   | 1.00000 | 1.00000  | 0.32000 | 0.37176 |
|   18  |   DISC   |      0.68554       |   117.53443    |  0.50000   | 1.00000 | 1.00000  | 0.31059 | 0.31059 |
|   19  |   DISC   |      0.68474       |   117.53443    |  0.50000   | 1.00000 | 1.00000  | 0.34118 | 0.31765 |
|   20  |   GEN    |      0.68474       |   106.86948    |  0.50000   | 1.00000 | 1.00000  | 0.32235 | 0.33176 |
|   21  |   GEN    |      0.68474       |   107.19907    |  0.50000   | 1.00000 | 1.00000  | 0.30588 | 0.32706 |
|   22  |   DISC   |      0.68482       |   107.19907    |  0.50000   | 1.00000 | 1.00000  | 0.31294 | 0.33882 |
|   23  |   DISC   |      0.68476       |   107.19907    |  0.50000   | 1.00000 | 1.00000  | 0.32706 | 0.32706 |
|   24  |   DISC   |      0.68357       |   107.19907    |  0.50000   | 1.00000 | 1.00000  | 0.30118 | 0.31294 |
|   25  |   DISC   |      0.68423       |   107.19907    |  0.50000   | 1.00000 | 1.00000  | 0.25647 | 0.29176 |
|   26  |   DISC   |      0.68359       |   107.19907    |  0.50000   | 1.00000 | 1.00000  | 0.34353 | 0.30353 |
|   27  |   GEN    |      0.68359       |   102.25161    |  0.50000   | 1.00000 | 1.00000  | 0.34824 | 0.33412 |
|   28  |   GEN    |      0.68359       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.33176 | 0.40235 |
|   29  |   DISC   |      0.68268       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.29176 | 0.33647 |
|   30  |   DISC   |      0.68300       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.37412 | 0.33176 |
|   31  |   DISC   |      0.68356       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31059 | 0.30353 |
|   32  |   DISC   |      0.68268       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31059 | 0.32941 |
|   33  |   DISC   |      0.68180       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.28706 | 0.34824 |
|   34  |   DISC   |      0.68246       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31529 | 0.34824 |
|   35  |   DISC   |      0.68288       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31294 | 0.33176 |
|   36  |   DISC   |      0.68194       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31294 | 0.32941 |
|   37  |   DISC   |      0.68201       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.34588 | 0.25647 |
|   38  |   DISC   |      0.68119       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.29647 | 0.28706 |
|   39  |   DISC   |      0.68064       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.27294 | 0.35059 |
|   40  |   DISC   |      0.68053       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30353 | 0.32000 |
|   41  |   DISC   |      0.68003       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.33647 | 0.36471 |
|   42  |   DISC   |      0.68037       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32000 | 0.36941 |
|   43  |   DISC   |      0.68059       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.29882 | 0.34588 |
|   44  |   DISC   |      0.68042       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32706 | 0.31529 |
|   45  |   DISC   |      0.67817       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.29412 | 0.34588 |
|   46  |   DISC   |      0.67899       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.28941 | 0.33647 |
|   47  |   DISC   |      0.67881       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.28000 | 0.32235 |
|   48  |   DISC   |      0.67930       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31059 | 0.32471 |
|   49  |   DISC   |      0.67793       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31059 | 0.34118 |
|   50  |   DISC   |      0.67771       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.33647 | 0.32941 |
|   51  |   DISC   |      0.67855       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30824 | 0.35529 |
|   52  |   DISC   |      0.67748       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32235 | 0.34824 |
|   53  |   DISC   |      0.67713       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31059 | 0.28235 |
|   54  |   DISC   |      0.67814       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.33412 | 0.34824 |
|   55  |   DISC   |      0.67710       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.36235 | 0.32471 |
|   56  |   DISC   |      0.67624       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32471 | 0.34353 |
|   57  |   DISC   |      0.67754       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32235 | 0.29882 |
|   58  |   DISC   |      0.67669       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30353 | 0.28000 |
|   59  |   DISC   |      0.67803       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30588 | 0.33412 |
|   60  |   DISC   |      0.67631       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32706 | 0.31294 |
|   61  |   DISC   |      0.67583       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30353 | 0.33412 |
|   62  |   DISC   |      0.67573       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.28706 | 0.33176 |
|   63  |   DISC   |      0.67447       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30588 | 0.29647 |
|   64  |   DISC   |      0.67471       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32706 | 0.32471 |
|   65  |   DISC   |      0.67568       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.34118 | 0.32235 |
|   66  |   DISC   |      0.67659       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31294 | 0.32000 |
|   67  |   DISC   |      0.67477       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.33412 | 0.36000 |
|   68  |   DISC   |      0.67448       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32706 | 0.32000 |
|   69  |   DISC   |      0.67398       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.25647 | 0.33412 |
|   70  |   DISC   |      0.67291       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.35059 | 0.33176 |
|   71  |   DISC   |      0.67406       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.26353 | 0.32706 |
|   72  |   DISC   |      0.67390       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32000 | 0.34118 |
|   73  |   DISC   |      0.67328       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.28941 | 0.29882 |
|   74  |   DISC   |      0.67243       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32706 | 0.34824 |
|   75  |   DISC   |      0.67267       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31059 | 0.33176 |
|   76  |   DISC   |      0.67221       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.33412 | 0.38118 |
|   77  |   DISC   |      0.67206       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30588 | 0.32471 |
|   78  |   DISC   |      0.67110       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.33176 | 0.37176 |
|   79  |   DISC   |      0.67186       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31529 | 0.34588 |
|   80  |   DISC   |      0.67130       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.33647 | 0.32706 |
|   81  |   DISC   |      0.67106       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.28471 | 0.36706 |
|   82  |   DISC   |      0.67054       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30588 | 0.34353 |
|   83  |   DISC   |      0.67090       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.28941 | 0.33412 |
|   84  |   DISC   |      0.67040       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.34118 | 0.34588 |
|   85  |   DISC   |      0.67017       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31765 | 0.36706 |
|   86  |   DISC   |      0.66796       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.29882 | 0.36235 |
|   87  |   DISC   |      0.66956       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.28941 | 0.32000 |
|   88  |   DISC   |      0.67013       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32235 | 0.32941 |
|   89  |   DISC   |      0.66949       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.29412 | 0.31059 |
|   90  |   DISC   |      0.67003       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32235 | 0.30353 |
|   91  |   DISC   |      0.66825       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31059 | 0.36471 |
|   92  |   DISC   |      0.66753       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30824 | 0.34118 |
|   93  |   DISC   |      0.66763       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32706 | 0.31294 |
|   94  |   DISC   |      0.66798       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30118 | 0.33882 |
|   95  |   DISC   |      0.66771       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.28000 | 0.33882 |
|   96  |   DISC   |      0.66680       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32235 | 0.31059 |
|   97  |   DISC   |      0.66693       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.26353 | 0.34118 |
|   98  |   DISC   |      0.66872       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32235 | 0.31529 |
|   99  |   DISC   |      0.66530       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.35059 | 0.33412 |
|  100  |   DISC   |      0.66595       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.37647 | 0.32235 |
|  101  |   DISC   |      0.66630       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.29412 | 0.32471 |
|  102  |   DISC   |      0.66550       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.34824 | 0.31294 |
|  103  |   DISC   |      0.66517       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32000 | 0.30118 |
|  104  |   DISC   |      0.66514       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32235 | 0.32235 |
|  105  |   DISC   |      0.66452       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.35059 | 0.34353 |
|  106  |   DISC   |      0.66476       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.26353 | 0.29882 |
|  107  |   DISC   |      0.66421       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.36235 | 0.35294 |
|  108  |   DISC   |      0.66489       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31765 | 0.32471 |
|  109  |   DISC   |      0.66417       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30588 | 0.33176 |
|  110  |   DISC   |      0.66378       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.27765 | 0.32941 |
|  111  |   DISC   |      0.66160       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32471 | 0.31059 |
|  112  |   DISC   |      0.66252       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32706 | 0.32471 |
|  113  |   DISC   |      0.66262       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.34353 | 0.34118 |
|  114  |   DISC   |      0.66179       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.34118 | 0.34824 |
|  115  |   DISC   |      0.66256       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30118 | 0.30118 |
|  116  |   DISC   |      0.66093       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.36471 | 0.35294 |
|  117  |   DISC   |      0.66312       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32471 | 0.31294 |
|  118  |   DISC   |      0.66046       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.29882 | 0.33882 |
|  119  |   DISC   |      0.66030       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.28471 | 0.35294 |
|  120  |   DISC   |      0.66134       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30824 | 0.33412 |
|  121  |   DISC   |      0.66004       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.34353 | 0.29412 |
|  122  |   DISC   |      0.66055       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.28706 | 0.30588 |
|  123  |   DISC   |      0.66108       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31765 | 0.38824 |
|  124  |   DISC   |      0.65885       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.28471 | 0.36235 |
|  125  |   DISC   |      0.65975       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.29647 | 0.35059 |
|  126  |   DISC   |      0.65898       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32000 | 0.31059 |
|  127  |   DISC   |      0.65885       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.32000 | 0.32235 |
|  128  |   DISC   |      0.65846       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30118 | 0.33176 |
|  129  |   DISC   |      0.65841       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.30824 | 0.31529 |
|  130  |   DISC   |      0.65785       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31294 | 0.33176 |
|  131  |   DISC   |      0.65836       |   109.78296    |  0.50000   | 1.00000 | 1.00000  | 0.31529 | 0.35059 |
