+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
| Epoch | Training | Discriminator Loss | Generator Loss | D_Accuracy |  D_fpR  | D_Recall |  A_fpR  |  U_fpR  |
+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
|   1   |   DISC   |      0.69054       |   107.60667    |  0.50651   | 0.56019 | 0.57322  | 0.31788 | 0.31126 |
|   2   |   DISC   |      0.69034       |   107.60667    |  0.50670   | 0.56009 | 0.57348  | 0.32450 | 0.33996 |
|   3   |   DISC   |      0.68934       |   107.60667    |  0.50687   | 0.55999 | 0.57374  | 0.35762 | 0.31788 |
|   4   |   DISC   |      0.68932       |   107.60667    |  0.50702   | 0.55996 | 0.57400  | 0.31567 | 0.33333 |
|   5   |   DISC   |      0.68806       |   107.60667    |  0.50728   | 0.55971 | 0.57426  | 0.33996 | 0.36865 |
|   6   |   GEN    |      0.68806       |   102.33812    |  0.50732   | 0.55962 | 0.57426  | 0.32009 | 0.32671 |
|   7   |   GEN    |      0.68806       |   109.97002    |  0.50736   | 0.55955 | 0.57426  | 0.29581 | 0.37748 |
|   8   |   DISC   |      0.68802       |   109.97002    |  0.50759   | 0.55935 | 0.57452  | 0.34879 | 0.33775 |
|   9   |   DISC   |      0.68707       |   109.97002    |  0.50770   | 0.55939 | 0.57479  | 0.33333 | 0.40177 |
|   10  |   DISC   |      0.68806       |   109.97002    |  0.50794   | 0.55918 | 0.57505  | 0.34658 | 0.35541 |
|   11  |   DISC   |      0.68664       |   109.97002    |  0.50812   | 0.55907 | 0.57532  | 0.37748 | 0.35762 |
|   12  |   DISC   |      0.68642       |   109.97002    |  0.50822   | 0.55915 | 0.57558  | 0.31126 | 0.33113 |
|   13  |   GEN    |      0.68642       |   104.14062    |  0.50837   | 0.55884 | 0.57558  | 0.30243 | 0.36203 |
|   14  |   GEN    |      0.68642       |   104.54157    |  0.50836   | 0.55887 | 0.57558  | 0.33554 | 0.32450 |
|   15  |   DISC   |      0.68664       |   104.54157    |  0.50852   | 0.55880 | 0.57585  | 0.33333 | 0.30464 |
|   16  |   DISC   |      0.68620       |   104.54157    |  0.50877   | 0.55858 | 0.57611  | 0.34658 | 0.36424 |
|   17  |   DISC   |      0.68539       |   104.54157    |  0.50888   | 0.55861 | 0.57638  | 0.34216 | 0.33996 |
|   18  |   DISC   |      0.68480       |   104.54157    |  0.50914   | 0.55838 | 0.57665  | 0.34658 | 0.33333 |
|   19  |   DISC   |      0.68465       |   104.54157    |  0.50921   | 0.55851 | 0.57692  | 0.32671 | 0.33333 |
|   20  |   GEN    |      0.68465       |    98.75401    |  0.50928   | 0.55837 | 0.57692  | 0.33775 | 0.32892 |
|   21  |   GEN    |      0.68465       |   103.19315    |  0.50928   | 0.55835 | 0.57692  | 0.29139 | 0.28256 |
|   22  |   DISC   |      0.68401       |   103.19315    |  0.50948   | 0.55824 | 0.57719  | 0.31126 | 0.33113 |
|   23  |   DISC   |      0.68397       |   103.19315    |  0.50964   | 0.55818 | 0.57746  | 0.31347 | 0.33775 |
|   24  |   DISC   |      0.68403       |   103.19315    |  0.50991   | 0.55791 | 0.57774  | 0.34216 | 0.35541 |
|   25  |   DISC   |      0.68310       |   103.19315    |  0.51001   | 0.55799 | 0.57801  | 0.31347 | 0.32230 |
|   26  |   DISC   |      0.68314       |   103.19315    |  0.51021   | 0.55786 | 0.57828  | 0.35099 | 0.33996 |
|   27  |   GEN    |      0.68314       |    92.35162    |  0.51023   | 0.55782 | 0.57828  | 0.35099 | 0.35762 |
|   28  |   GEN    |      0.68314       |    96.19669    |  0.51025   | 0.55779 | 0.57828  | 0.32450 | 0.29139 |
|   29  |   DISC   |      0.68150       |    96.19669    |  0.51046   | 0.55764 | 0.57855  | 0.33775 | 0.32230 |
