Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.70212,130.00882,0.50000,1.00000,1.00000,0.34809,0.29376
2,DISC,0.70160,130.00882,0.50000,1.00000,1.00000,0.32596,0.33803
3,DISC,0.70090,130.00882,0.50000,1.00000,1.00000,0.32797,0.35614
4,DISC,0.70014,130.00882,0.50000,1.00000,1.00000,0.32394,0.35412
5,DISC,0.69946,130.00882,0.50000,1.00000,1.00000,0.34809,0.31791
6,GEN,0.69946,133.10414,0.50000,1.00000,1.00000,0.34004,0.33602
7,GEN,0.69946,127.43967,0.50000,1.00000,1.00000,0.32193,0.32797
8,DISC,0.69816,127.43967,0.50000,1.00000,1.00000,0.33602,0.36217
9,DISC,0.69740,127.43967,0.50000,1.00000,1.00000,0.37022,0.31590
10,DISC,0.69676,127.43967,0.50000,1.00000,1.00000,0.33199,0.34809
11,DISC,0.69566,127.43967,0.50000,1.00000,1.00000,0.30584,0.34809
12,DISC,0.69467,127.43967,0.50000,1.00000,1.00000,0.32394,0.34004
13,GEN,0.69467,126.16467,0.50000,1.00000,1.00000,0.35412,0.31791
14,GEN,0.69467,122.97703,0.50000,1.00000,1.00000,0.33803,0.35211
15,DISC,0.69417,122.97703,0.50000,1.00000,1.00000,0.29175,0.35614
16,DISC,0.69299,122.97703,0.50000,1.00000,1.00000,0.32797,0.29980
17,DISC,0.69184,122.97703,0.50000,1.00000,1.00000,0.33199,0.34205
18,DISC,0.69111,122.97703,0.50000,1.00000,1.00000,0.30785,0.32998
19,DISC,0.69049,122.97703,0.50000,1.00000,1.00000,0.34406,0.31590
20,GEN,0.69049,113.04012,0.50000,1.00000,1.00000,0.34004,0.32998
21,GEN,0.69049,106.45249,0.50000,1.00000,1.00000,0.31791,0.31992
22,DISC,0.68935,106.45249,0.50000,1.00000,1.00000,0.32797,0.37223
23,DISC,0.68853,106.45249,0.50000,1.00000,1.00000,0.31187,0.32596
24,DISC,0.68743,106.45249,0.50000,1.00000,1.00000,0.32797,0.32998
25,DISC,0.68696,106.45249,0.50000,1.00000,1.00000,0.34809,0.35412
26,DISC,0.68562,106.45249,0.50000,1.00000,1.00000,0.30584,0.34608
27,GEN,0.68562,105.54422,0.50000,1.00000,1.00000,0.39235,0.35412
28,GEN,0.68562,94.97743,0.50000,1.00000,1.00000,0.33803,0.32193
29,DISC,0.68473,94.97743,0.50000,1.00000,1.00000,0.35815,0.32596
30,DISC,0.68404,94.97743,0.50000,1.00000,1.00000,0.33803,0.36217
31,DISC,0.68289,94.97743,0.50000,1.00000,1.00000,0.33803,0.34205
32,DISC,0.68232,94.97743,0.50000,1.00000,1.00000,0.30584,0.34004
33,DISC,0.68069,94.97743,0.50000,1.00000,1.00000,0.32797,0.35211
34,DISC,0.68005,94.97743,0.50000,1.00000,1.00000,0.32193,0.33400
35,DISC,0.67885,94.97743,0.50000,1.00000,1.00000,0.33199,0.34205
36,DISC,0.67868,94.97743,0.50000,1.00000,1.00000,0.35010,0.35010
37,DISC,0.67745,94.97743,0.50000,1.00000,1.00000,0.35614,0.29779
38,DISC,0.67680,94.97743,0.50000,1.00000,1.00000,0.34809,0.33803
39,DISC,0.67558,94.97743,0.50000,1.00000,1.00000,0.31791,0.31388
40,DISC,0.67571,94.97743,0.50000,1.00000,1.00000,0.32797,0.31388
41,DISC,0.67429,94.97743,0.50000,1.00000,1.00000,0.40040,0.33199
42,DISC,0.67289,94.97743,0.50000,1.00000,1.00000,0.34004,0.32193
43,DISC,0.67194,94.97743,0.50000,1.00000,1.00000,0.35412,0.32596
44,DISC,0.67134,94.97743,0.50000,1.00000,1.00000,0.32998,0.39235
45,DISC,0.66971,94.97743,0.50000,1.00000,1.00000,0.37022,0.34608
46,DISC,0.66954,94.97743,0.50000,1.00000,1.00000,0.33602,0.32998
47,DISC,0.66924,94.97743,0.50000,1.00000,1.00000,0.34205,0.35412
48,DISC,0.66692,94.97743,0.50000,1.00000,1.00000,0.36016,0.33199
49,DISC,0.66602,94.97743,0.50000,1.00000,1.00000,0.34406,0.30181
50,DISC,0.66573,94.97743,0.50000,1.00000,1.00000,0.32998,0.35211
51,DISC,0.66458,94.97743,0.50000,1.00000,1.00000,0.33602,0.31187
52,DISC,0.66404,94.97743,0.50000,1.00000,1.00000,0.30584,0.30584
53,DISC,0.66223,94.97743,0.50000,1.00000,1.00000,0.31590,0.34004
54,DISC,0.66179,94.97743,0.50000,1.00000,1.00000,0.33602,0.36620
55,DISC,0.66096,94.97743,0.50000,1.00000,1.00000,0.30986,0.32797
56,DISC,0.65933,94.97743,0.50000,1.00000,1.00000,0.33199,0.30986
57,DISC,0.65842,94.97743,0.50000,1.00000,1.00000,0.31791,0.37626
58,DISC,0.65763,94.97743,0.50000,1.00000,1.00000,0.34004,0.32998
59,DISC,0.65681,94.97743,0.50000,1.00000,1.00000,0.31992,0.32797
60,DISC,0.65578,94.97743,0.50000,1.00000,1.00000,0.32797,0.29577
61,DISC,0.65495,94.97743,0.50000,1.00000,1.00000,0.31791,0.34004
62,DISC,0.65383,94.97743,0.50000,1.00000,1.00000,0.30382,0.30181
63,DISC,0.65193,94.97743,0.50000,1.00000,1.00000,0.32596,0.33803
64,DISC,0.65175,94.97743,0.50000,1.00000,1.00000,0.33602,0.34205
65,DISC,0.64971,94.97743,0.50000,1.00000,1.00000,0.32998,0.30181
66,DISC,0.64884,94.97743,0.50000,1.00000,1.00000,0.31187,0.32797
67,DISC,0.64841,94.97743,0.50000,1.00000,1.00000,0.39638,0.32394
68,DISC,0.64766,94.97743,0.50000,1.00000,1.00000,0.35614,0.31791
69,DISC,0.64594,94.97743,0.50000,1.00000,1.00000,0.34004,0.30584
70,DISC,0.64558,94.97743,0.50000,1.00000,1.00000,0.30785,0.28370
71,DISC,0.64360,94.97743,0.50000,1.00000,1.00000,0.33400,0.32193
72,DISC,0.64349,94.97743,0.50000,1.00000,1.00000,0.34004,0.32193
73,DISC,0.64149,94.97743,0.50000,1.00000,1.00000,0.31791,0.34205
74,DISC,0.64114,94.97743,0.50000,1.00000,1.00000,0.31791,0.34608
75,DISC,0.63961,94.97743,0.50000,1.00000,1.00000,0.35815,0.31187
76,DISC,0.63890,94.97743,0.50000,1.00000,1.00000,0.29980,0.30382
77,DISC,0.63729,94.97743,0.50000,1.00000,1.00000,0.37022,0.31992
78,DISC,0.63684,94.97743,0.50000,1.00000,1.00000,0.32596,0.31388
79,DISC,0.63532,94.97743,0.50000,1.00000,1.00000,0.33400,0.36217
80,DISC,0.63421,94.97743,0.50000,1.00000,1.00000,0.34205,0.35211
81,DISC,0.63305,94.97743,0.50000,1.00000,1.00000,0.35614,0.33400
82,DISC,0.63043,94.97743,0.50000,1.00000,1.00000,0.30181,0.31590
83,DISC,0.63030,94.97743,0.50000,1.00000,1.00000,0.34406,0.35211
84,DISC,0.63047,94.97743,0.50000,1.00000,1.00000,0.31992,0.29779
85,DISC,0.62850,94.97743,0.50000,1.00000,1.00000,0.30785,0.35211
86,DISC,0.62790,94.97743,0.50000,1.00000,1.00000,0.30785,0.35614
87,DISC,0.62568,94.97743,0.50000,1.00000,1.00000,0.31388,0.36016
88,DISC,0.62509,94.97743,0.50000,1.00000,1.00000,0.32596,0.31992
89,DISC,0.62339,94.97743,0.50000,1.00000,1.00000,0.32596,0.34004
90,DISC,0.62115,94.97743,0.50000,1.00000,1.00000,0.32998,0.32193
91,DISC,0.62103,94.97743,0.50000,1.00000,1.00000,0.33199,0.35614
92,DISC,0.62011,94.97743,0.50000,1.00000,1.00000,0.35412,0.32596
93,DISC,0.61809,94.97743,0.50000,1.00000,1.00000,0.38028,0.29779
94,DISC,0.61714,94.97743,0.50000,1.00000,1.00000,0.33400,0.37626
95,DISC,0.61620,94.97743,0.50000,1.00000,1.00000,0.33400,0.34205
96,DISC,0.61473,94.97743,0.50000,1.00000,1.00000,0.36016,0.35010
97,DISC,0.61291,94.97743,0.50000,1.00000,1.00000,0.32797,0.34406
98,DISC,0.61170,94.97743,0.50000,1.00000,1.00000,0.34205,0.34205
99,DISC,0.61055,94.97743,0.50000,1.00000,1.00000,0.34205,0.33602
100,DISC,0.60982,94.97743,0.50000,1.00000,1.00000,0.37425,0.34205
101,DISC,0.60935,94.97743,0.50000,1.00000,1.00000,0.37827,0.32193
102,DISC,0.60755,94.97743,0.50000,1.00000,1.00000,0.35010,0.29175
103,DISC,0.60631,94.97743,0.50000,1.00000,1.00000,0.37827,0.32998
104,DISC,0.60479,94.97743,0.50000,1.00000,1.00000,0.35614,0.32797
105,DISC,0.60242,94.97743,0.50000,1.00000,1.00000,0.39839,0.33400
106,DISC,0.60083,94.97743,0.50000,1.00000,1.00000,0.34004,0.31388
107,DISC,0.59958,94.97743,0.50000,1.00000,1.00000,0.32596,0.36419
108,DISC,0.59976,94.97743,0.50000,1.00000,1.00000,0.30382,0.33400
109,DISC,0.59763,94.97743,0.50000,1.00000,1.00000,0.32394,0.35010
110,DISC,0.59619,94.97743,0.50000,1.00000,1.00000,0.30181,0.34004
111,DISC,0.59488,94.97743,0.50000,1.00000,1.00000,0.32394,0.35010
112,DISC,0.59279,94.97743,0.50000,1.00000,1.00000,0.32998,0.36016
113,DISC,0.59187,94.97743,0.50000,1.00000,1.00000,0.33400,0.37022
114,DISC,0.59028,94.97743,0.50000,1.00000,1.00000,0.29376,0.33602
115,DISC,0.58901,94.97743,0.50000,1.00000,1.00000,0.32394,0.35815
116,DISC,0.58783,94.97743,0.50000,1.00000,1.00000,0.33602,0.31590
117,DISC,0.58650,94.97743,0.50000,1.00000,1.00000,0.34004,0.34004
118,DISC,0.58516,94.97743,0.50000,1.00000,1.00000,0.34406,0.31992
119,DISC,0.58241,94.97743,0.50000,1.00000,1.00000,0.32998,0.32394
120,DISC,0.58177,94.97743,0.50000,1.00000,1.00000,0.34608,0.29779
121,DISC,0.58111,94.97743,0.50000,1.00000,1.00000,0.33199,0.34004
122,DISC,0.57916,94.97743,0.50000,1.00000,1.00000,0.34406,0.33400
123,DISC,0.57807,94.97743,0.50000,1.00000,1.00000,0.31992,0.29779
124,DISC,0.57550,94.97743,0.50000,1.00000,1.00000,0.34004,0.33803
125,DISC,0.57441,94.97743,0.50000,1.00000,1.00000,0.32394,0.35412
126,DISC,0.57396,94.97743,0.50000,1.00000,1.00000,0.32596,0.33400
127,DISC,0.57197,94.97743,0.50000,1.00000,1.00000,0.32797,0.30785
128,DISC,0.56981,94.97743,0.50000,1.00000,1.00000,0.36620,0.32193
129,DISC,0.56868,94.97743,0.50000,1.00000,1.00000,0.35412,0.36016
130,DISC,0.56805,94.97743,0.50000,1.00000,1.00000,0.32998,0.30382
131,DISC,0.56610,94.97743,0.50000,1.00000,1.00000,0.36016,0.34205
132,DISC,0.56532,94.97743,0.50000,1.00000,1.00000,0.26962,0.31992
133,DISC,0.56487,94.97743,0.50000,1.00000,1.00000,0.33803,0.32193
134,DISC,0.56166,94.97743,0.50000,1.00000,1.00000,0.31388,0.31590
135,DISC,0.55947,94.97743,0.50000,1.00000,1.00000,0.31590,0.34205
136,DISC,0.55960,94.97743,0.50000,1.00000,1.00000,0.34608,0.32797
137,DISC,0.55649,94.97743,0.50000,1.00000,1.00000,0.31388,0.30785
138,DISC,0.55542,94.97743,0.50000,1.00000,1.00000,0.36217,0.30584
139,DISC,0.55480,94.97743,0.50000,1.00000,1.00000,0.31791,0.27968
140,DISC,0.55245,94.97743,0.50000,1.00000,1.00000,0.31992,0.35211
141,DISC,0.55150,94.97743,0.50000,1.00000,1.00000,0.32394,0.30785
142,DISC,0.54777,94.97743,0.50000,1.00000,1.00000,0.31791,0.35010
143,DISC,0.54720,94.97743,0.50000,1.00000,1.00000,0.36821,0.32998
144,DISC,0.54628,94.97743,0.50000,1.00000,1.00000,0.36821,0.28773
145,DISC,0.54463,94.97743,0.50000,1.00000,1.00000,0.32797,0.36016
146,DISC,0.54346,94.97743,0.50000,1.00000,1.00000,0.32394,0.34809
147,DISC,0.54129,94.97743,0.50201,0.99598,1.00000,0.31791,0.34809
148,DISC,0.54080,94.97743,0.50101,0.99799,1.00000,0.30986,0.31992
149,DISC,0.53854,94.97743,0.50101,0.99799,1.00000,0.33400,0.33199
150,DISC,0.53816,94.97743,0.50201,0.99598,1.00000,0.33400,0.32797
151,DISC,0.53611,94.97743,0.50402,0.99195,1.00000,0.29376,0.32998
152,DISC,0.53455,94.97743,0.50604,0.98793,1.00000,0.34406,0.35211
153,DISC,0.53215,94.97743,0.50604,0.98793,1.00000,0.31388,0.29175
154,DISC,0.52851,94.97743,0.50503,0.98994,1.00000,0.36620,0.32998
155,DISC,0.52932,94.97743,0.50704,0.98592,1.00000,0.32998,0.34205
156,DISC,0.52868,94.97743,0.52616,0.94769,1.00000,0.31992,0.32596
157,DISC,0.52761,94.97743,0.52817,0.94366,1.00000,0.32998,0.34004
158,DISC,0.52396,94.97743,0.53722,0.92555,1.00000,0.32797,0.33602
159,DISC,0.52302,94.97743,0.54125,0.91751,1.00000,0.34608,0.33199
160,DISC,0.52132,94.97743,0.54225,0.91549,1.00000,0.30785,0.34004
161,DISC,0.52074,94.97743,0.55533,0.88934,1.00000,0.30181,0.29577
162,DISC,0.51895,94.97743,0.56740,0.86519,1.00000,0.33602,0.34809
163,DISC,0.51647,94.97743,0.57344,0.85312,1.00000,0.31992,0.34004
164,DISC,0.51542,94.97743,0.60262,0.79477,1.00000,0.38431,0.31992
165,DISC,0.51269,94.97743,0.62877,0.74245,1.00000,0.32797,0.37425
166,DISC,0.51320,94.97743,0.62978,0.74044,1.00000,0.36016,0.31388
167,DISC,0.50934,94.97743,0.67103,0.65795,1.00000,0.35010,0.34809
168,DISC,0.50900,94.97743,0.68410,0.63179,1.00000,0.33199,0.30181
169,DISC,0.50686,94.97743,0.70020,0.59960,1.00000,0.33400,0.35010
170,DISC,0.50546,94.97743,0.71328,0.57344,1.00000,0.33400,0.32998
171,DISC,0.50223,94.97743,0.76861,0.46278,1.00000,0.35211,0.34809
172,DISC,0.50334,94.97743,0.75654,0.48692,1.00000,0.32596,0.32394
173,DISC,0.49910,94.97743,0.77163,0.45674,1.00000,0.32394,0.36821
174,DISC,0.49792,94.97743,0.78571,0.42857,1.00000,0.34004,0.32797
175,DISC,0.49706,94.97743,0.82897,0.34205,1.00000,0.33400,0.29779
176,DISC,0.49547,94.97743,0.83199,0.33602,1.00000,0.32998,0.31388
177,DISC,0.49457,94.97743,0.86117,0.27767,1.00000,0.31590,0.34809
178,GEN,0.49457,96.75848,0.84406,0.31187,1.00000,0.33199,0.31992
179,GEN,0.49457,97.59216,0.86720,0.26559,1.00000,0.32394,0.30785
180,GEN,0.49457,97.41992,0.83903,0.32193,1.00000,0.35010,0.32797
181,GEN,0.49457,91.44026,0.85111,0.29779,1.00000,0.39839,0.28773
182,GEN,0.49457,86.97089,0.81288,0.37425,1.00000,0.35412,0.29577
183,GEN,0.49457,90.81525,0.82093,0.35815,1.00000,0.36821,0.32193
184,GEN,0.49457,84.66075,0.80885,0.38229,1.00000,0.34608,0.33400
185,GEN,0.49457,78.79446,0.81690,0.36620,1.00000,0.34406,0.35614
186,GEN,0.49457,83.78883,0.79779,0.40443,1.00000,0.29175,0.31992
187,GEN,0.49457,85.35185,0.77968,0.44064,1.00000,0.36419,0.32394
188,GEN,0.49457,82.61656,0.76157,0.47686,1.00000,0.34004,0.37425
189,GEN,0.49457,80.48900,0.76962,0.46076,1.00000,0.31187,0.35010
190,GEN,0.49457,77.59480,0.75654,0.48692,1.00000,0.34608,0.33602
191,GEN,0.49457,78.06706,0.72938,0.54125,1.00000,0.35815,0.36419
192,GEN,0.49457,70.26349,0.73038,0.53924,1.00000,0.33199,0.37022
193,GEN,0.49457,71.69301,0.72938,0.54125,1.00000,0.30382,0.33199
194,GEN,0.49457,69.11604,0.70322,0.59356,1.00000,0.32596,0.29175
