Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.70326,91.75455,0.50000,0.00000,0.00000,0.32797,0.33199
2,DISC,0.70240,91.75455,0.50000,0.00000,0.00000,0.32596,0.34608
3,DISC,0.70176,91.75455,0.50000,0.00000,0.00000,0.31187,0.32998
4,DISC,0.70139,91.75455,0.50000,0.00000,0.00000,0.35010,0.33803
5,DISC,0.70071,91.75455,0.50000,0.00000,0.00000,0.35010,0.32193
6,GEN,0.70071,93.48270,0.50000,0.00000,0.00000,0.36821,0.33199
7,GEN,0.70071,95.04346,0.50000,0.00000,0.00000,0.29577,0.33803
8,DISC,0.70007,95.04346,0.50000,0.00000,0.00000,0.34406,0.29980
9,DISC,0.69928,95.04346,0.50000,0.00000,0.00000,0.33803,0.32797
10,DISC,0.69901,95.04346,0.50000,0.00000,0.00000,0.31388,0.29980
11,DISC,0.69857,95.04346,0.50000,0.00000,0.00000,0.33199,0.33803
12,DISC,0.69790,95.04346,0.50000,0.00000,0.00000,0.35614,0.34608
13,GEN,0.69790,88.16005,0.50000,0.00000,0.00000,0.31791,0.34205
14,GEN,0.69790,88.12108,0.50000,0.00000,0.00000,0.33803,0.34608
15,DISC,0.69686,88.12108,0.50000,0.00000,0.00000,0.31992,0.35010
16,DISC,0.69614,88.12108,0.50000,0.00000,0.00000,0.31590,0.33803
17,DISC,0.69574,88.12108,0.50000,0.00000,0.00000,0.33400,0.28571
18,DISC,0.69506,88.12108,0.50000,0.00000,0.00000,0.33199,0.35614
19,DISC,0.69504,88.12108,0.50000,0.00000,0.00000,0.32797,0.33400
20,GEN,0.69504,81.78838,0.50000,0.00000,0.00000,0.30181,0.34809
21,GEN,0.69504,73.00949,0.50000,0.00000,0.00000,0.34205,0.35412
22,DISC,0.69349,73.00949,0.50000,0.00000,0.00000,0.33400,0.31791
23,DISC,0.69342,73.00949,0.50000,0.00000,0.00000,0.33803,0.29779
24,DISC,0.69228,73.00949,0.50000,0.00000,0.00000,0.30584,0.30584
25,DISC,0.69205,73.00949,0.50000,0.00000,0.00000,0.35412,0.31992
26,DISC,0.69115,73.00949,0.50000,0.00000,0.00000,0.36620,0.34205
27,GEN,0.69115,76.31384,0.50000,0.00000,0.00000,0.33400,0.32394
28,GEN,0.69115,71.58592,0.50000,0.00000,0.00000,0.34406,0.32596
29,DISC,0.69021,71.58592,0.50000,0.00000,0.00000,0.37827,0.32797
30,DISC,0.69033,71.58592,0.50000,0.00000,0.00000,0.29376,0.36016
31,DISC,0.68889,71.58592,0.50101,0.00000,0.00201,0.30382,0.33602
32,DISC,0.68878,71.58592,0.50101,0.00000,0.00201,0.32797,0.29577
33,DISC,0.68791,71.58592,0.50101,0.00000,0.00201,0.35211,0.31992
34,DISC,0.68723,71.58592,0.50101,0.00000,0.00201,0.38833,0.30382
35,DISC,0.68660,71.58592,0.50101,0.00000,0.00201,0.34004,0.34608
36,DISC,0.68568,71.58592,0.50101,0.00000,0.00201,0.33400,0.35211
37,DISC,0.68576,71.58592,0.50201,0.00000,0.00402,0.34004,0.36620
38,DISC,0.68439,71.58592,0.50201,0.00000,0.00402,0.31992,0.34608
39,DISC,0.68385,71.58592,0.50402,0.00000,0.00805,0.30382,0.40443
40,DISC,0.68319,71.58592,0.51006,0.00000,0.02012,0.31791,0.38028
