+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
| Epoch | Training | Discriminator Loss | Generator Loss | D_Accuracy |  D_fpR  | D_Recall |  A_fpR  |  U_fpR  |
+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
|   1   |   DISC   |      0.69136       |   138.24049    |  0.50000   | 1.00000 | 1.00000  | 0.33898 | 0.24653 |
|   2   |   DISC   |      0.69154       |   138.24049    |  0.50000   | 1.00000 | 1.00000  | 0.32974 | 0.27119 |
|   3   |   DISC   |      0.69085       |   138.24049    |  0.50000   | 1.00000 | 1.00000  | 0.32203 | 0.25732 |
|   4   |   DISC   |      0.69093       |   138.24049    |  0.50000   | 1.00000 | 1.00000  | 0.36055 | 0.25270 |
|   5   |   DISC   |      0.69041       |   138.24049    |  0.50000   | 1.00000 | 1.00000  | 0.34206 | 0.27889 |
|   6   |   GEN    |      0.69041       |   137.44614    |  0.50000   | 1.00000 | 1.00000  | 0.33744 | 0.24807 |
|   7   |   GEN    |      0.69041       |   133.57077    |  0.50000   | 1.00000 | 1.00000  | 0.32203 | 0.23267 |
|   8   |   DISC   |      0.69126       |   133.57077    |  0.50000   | 1.00000 | 1.00000  | 0.37288 | 0.27119 |
|   9   |   DISC   |      0.69020       |   133.57077    |  0.50000   | 1.00000 | 1.00000  | 0.36826 | 0.23112 |
|   10  |   DISC   |      0.69068       |   133.57077    |  0.50000   | 1.00000 | 1.00000  | 0.34206 | 0.23883 |
|   11  |   DISC   |      0.69034       |   133.57077    |  0.50000   | 1.00000 | 1.00000  | 0.37288 | 0.25732 |
|   12  |   DISC   |      0.69033       |   133.57077    |  0.50000   | 1.00000 | 1.00000  | 0.34206 | 0.24499 |
|   13  |   GEN    |      0.69033       |   133.84601    |  0.50000   | 1.00000 | 1.00000  | 0.33744 | 0.27735 |
|   14  |   GEN    |      0.69033       |   139.20132    |  0.50000   | 1.00000 | 1.00000  | 0.31895 | 0.24807 |
|   15  |   DISC   |      0.69018       |   139.20132    |  0.50000   | 1.00000 | 1.00000  | 0.37904 | 0.23883 |
|   16  |   DISC   |      0.69011       |   139.20132    |  0.50000   | 1.00000 | 1.00000  | 0.33898 | 0.24653 |
|   17  |   DISC   |      0.69017       |   139.20132    |  0.50000   | 1.00000 | 1.00000  | 0.35131 | 0.27119 |
|   18  |   DISC   |      0.68966       |   139.20132    |  0.50000   | 1.00000 | 1.00000  | 0.32512 | 0.24653 |
|   19  |   DISC   |      0.68960       |   139.20132    |  0.50000   | 1.00000 | 1.00000  | 0.33590 | 0.25886 |
|   20  |   GEN    |      0.68960       |   133.68065    |  0.50000   | 1.00000 | 1.00000  | 0.36672 | 0.20955 |
|   21  |   GEN    |      0.68960       |   131.76874    |  0.50000   | 1.00000 | 1.00000  | 0.30971 | 0.25732 |
|   22  |   DISC   |      0.68954       |   131.76874    |  0.50000   | 1.00000 | 1.00000  | 0.34206 | 0.24653 |
|   23  |   DISC   |      0.68917       |   131.76874    |  0.50000   | 1.00000 | 1.00000  | 0.30046 | 0.25578 |
|   24  |   DISC   |      0.68919       |   131.76874    |  0.50000   | 1.00000 | 1.00000  | 0.32512 | 0.26194 |
|   25  |   DISC   |      0.68908       |   131.76874    |  0.50000   | 1.00000 | 1.00000  | 0.33436 | 0.23575 |
|   26  |   DISC   |      0.68817       |   131.76874    |  0.50000   | 1.00000 | 1.00000  | 0.34823 | 0.25270 |
|   27  |   GEN    |      0.68817       |   124.69797    |  0.50000   | 1.00000 | 1.00000  | 0.30817 | 0.24961 |
|   28  |   GEN    |      0.68817       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33282 | 0.25886 |
|   29  |   DISC   |      0.68821       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33590 | 0.28043 |
|   30  |   DISC   |      0.68858       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.36210 | 0.27119 |
|   31  |   DISC   |      0.68835       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.35439 | 0.26656 |
|   32  |   DISC   |      0.68819       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33898 | 0.26965 |
|   33  |   DISC   |      0.68765       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32357 | 0.23112 |
|   34  |   DISC   |      0.68779       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34206 | 0.22958 |
|   35  |   DISC   |      0.68754       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33128 | 0.25732 |
|   36  |   DISC   |      0.68676       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32049 | 0.29430 |
|   37  |   DISC   |      0.68691       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33128 | 0.23267 |
|   38  |   DISC   |      0.68699       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.30200 | 0.25886 |
|   39  |   DISC   |      0.68636       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.35439 | 0.25116 |
|   40  |   DISC   |      0.68581       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34206 | 0.27735 |
|   41  |   DISC   |      0.68625       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34361 | 0.21418 |
|   42  |   DISC   |      0.68637       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.30354 | 0.24961 |
|   43  |   DISC   |      0.68551       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.36210 | 0.23267 |
|   44  |   DISC   |      0.68562       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33436 | 0.25116 |
|   45  |   DISC   |      0.68513       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32974 | 0.24653 |
|   46  |   DISC   |      0.68497       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34361 | 0.23421 |
|   47  |   DISC   |      0.68442       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33590 | 0.26810 |
|   48  |   DISC   |      0.68500       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31895 | 0.25424 |
|   49  |   DISC   |      0.68423       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32512 | 0.23729 |
|   50  |   DISC   |      0.68371       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.37904 | 0.27735 |
|   51  |   DISC   |      0.68381       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31433 | 0.20339 |
|   52  |   DISC   |      0.68299       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32203 | 0.25732 |
|   53  |   DISC   |      0.68281       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.30046 | 0.23421 |
|   54  |   DISC   |      0.68306       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31433 | 0.24345 |
|   55  |   DISC   |      0.68250       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33436 | 0.27581 |
|   56  |   DISC   |      0.68230       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33590 | 0.25116 |
|   57  |   DISC   |      0.68124       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.30971 | 0.24807 |
|   58  |   DISC   |      0.68158       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32049 | 0.22804 |
|   59  |   DISC   |      0.68109       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33744 | 0.27273 |
|   60  |   DISC   |      0.68118       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31741 | 0.26810 |
|   61  |   DISC   |      0.68084       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33898 | 0.25886 |
|   62  |   DISC   |      0.68088       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31895 | 0.26656 |
|   63  |   DISC   |      0.68013       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.30817 | 0.24191 |
|   64  |   DISC   |      0.67969       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34361 | 0.23729 |
|   65  |   DISC   |      0.67956       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.28505 | 0.26502 |
|   66  |   DISC   |      0.67859       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34823 | 0.24961 |
|   67  |   DISC   |      0.67843       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.36364 | 0.25886 |
|   68  |   DISC   |      0.67834       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31895 | 0.21418 |
|   69  |   DISC   |      0.67758       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31125 | 0.23112 |
|   70  |   DISC   |      0.67764       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33128 | 0.23267 |
|   71  |   DISC   |      0.67656       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.36210 | 0.27119 |
|   72  |   DISC   |      0.67634       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32666 | 0.25732 |
|   73  |   DISC   |      0.67629       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31279 | 0.25424 |
|   74  |   DISC   |      0.67591       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32666 | 0.25578 |
|   75  |   DISC   |      0.67613       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.29584 | 0.28814 |
|   76  |   DISC   |      0.67540       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.36672 | 0.28197 |
|   77  |   DISC   |      0.67463       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31741 | 0.26965 |
|   78  |   DISC   |      0.67469       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31587 | 0.24499 |
|   79  |   DISC   |      0.67435       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33898 | 0.26502 |
|   80  |   DISC   |      0.67408       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32512 | 0.23729 |
|   81  |   DISC   |      0.67293       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33128 | 0.20955 |
|   82  |   DISC   |      0.67389       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34515 | 0.26502 |
|   83  |   DISC   |      0.67299       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34823 | 0.24499 |
|   84  |   DISC   |      0.67211       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34361 | 0.27427 |
|   85  |   DISC   |      0.67264       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34823 | 0.29122 |
|   86  |   DISC   |      0.67169       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34515 | 0.23729 |
|   87  |   DISC   |      0.67042       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33590 | 0.24807 |
|   88  |   DISC   |      0.67160       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34361 | 0.25732 |
|   89  |   DISC   |      0.67037       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31587 | 0.23575 |
|   90  |   DISC   |      0.66983       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34361 | 0.25424 |
|   91  |   DISC   |      0.66909       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.33590 | 0.24499 |
|   92  |   DISC   |      0.66983       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34823 | 0.25270 |
|   93  |   DISC   |      0.66892       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32666 | 0.25116 |
|   94  |   DISC   |      0.66833       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31587 | 0.23883 |
|   95  |   DISC   |      0.66828       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34052 | 0.24345 |
|   96  |   DISC   |      0.66789       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31895 | 0.24961 |
|   97  |   DISC   |      0.66714       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.36055 | 0.25578 |
|   98  |   DISC   |      0.66689       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.35131 | 0.24961 |
|   99  |   DISC   |      0.66693       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.29892 | 0.25116 |
|  100  |   DISC   |      0.66615       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34669 | 0.25270 |
|  101  |   DISC   |      0.66528       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32049 | 0.25270 |
|  102  |   DISC   |      0.66491       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31587 | 0.23729 |
|  103  |   DISC   |      0.66475       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.31433 | 0.26810 |
|  104  |   DISC   |      0.66409       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.36980 | 0.27889 |
|  105  |   DISC   |      0.66386       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34977 | 0.24807 |
|  106  |   DISC   |      0.66416       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34977 | 0.26502 |
|  107  |   DISC   |      0.66343       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32203 | 0.20339 |
|  108  |   DISC   |      0.66245       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34361 | 0.23112 |
|  109  |   DISC   |      0.66190       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34206 | 0.24499 |
|  110  |   DISC   |      0.66205       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34206 | 0.24499 |
|  111  |   DISC   |      0.66167       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.34206 | 0.22342 |
|  112  |   DISC   |      0.66086       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32357 | 0.23421 |
|  113  |   DISC   |      0.66027       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.35593 | 0.24807 |
|  114  |   DISC   |      0.66032       |   130.58321    |  0.50000   | 1.00000 | 1.00000  | 0.32974 | 0.23883 |
