Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.70133,65.13808,0.50000,0.00000,0.00000,0.32353,0.37330
2,DISC,0.70089,65.13808,0.50000,0.00000,0.00000,0.32127,0.31674
3,DISC,0.70041,65.13808,0.50000,0.00000,0.00000,0.31448,0.33710
4,DISC,0.70034,65.13808,0.50000,0.00000,0.00000,0.39367,0.30317
5,DISC,0.70015,65.13808,0.50000,0.00000,0.00000,0.35747,0.31900
6,GEN,0.70015,63.51572,0.50000,0.00000,0.00000,0.30317,0.32805
7,GEN,0.70015,62.74123,0.50000,0.00000,0.00000,0.32579,0.31900
8,DISC,0.69946,62.74123,0.50000,0.00000,0.00000,0.35747,0.32127
9,DISC,0.69920,62.74123,0.50000,0.00000,0.00000,0.32127,0.28733
10,DISC,0.69923,62.74123,0.50000,0.00000,0.00000,0.33258,0.33710
11,DISC,0.69904,62.74123,0.50000,0.00000,0.00000,0.35068,0.30995
12,DISC,0.69875,62.74123,0.50000,0.00000,0.00000,0.32579,0.31222
13,GEN,0.69875,61.97390,0.50000,0.00000,0.00000,0.32127,0.32805
14,GEN,0.69875,69.89853,0.50000,0.00000,0.00000,0.30769,0.32579
15,DISC,0.69818,69.89853,0.50000,0.00000,0.00000,0.34389,0.33710
16,DISC,0.69848,69.89853,0.50000,0.00000,0.00000,0.33710,0.37783
17,DISC,0.69759,69.89853,0.50000,0.00000,0.00000,0.32579,0.33484
18,DISC,0.69745,69.89853,0.50000,0.00000,0.00000,0.32805,0.32805
19,DISC,0.69738,69.89853,0.50000,0.00000,0.00000,0.32579,0.33032
20,GEN,0.69738,65.46201,0.50000,0.00000,0.00000,0.35973,0.33484
21,GEN,0.69738,61.55258,0.50000,0.00000,0.00000,0.32805,0.33032
22,DISC,0.69723,61.55258,0.50000,0.00000,0.00000,0.33710,0.29638
23,DISC,0.69642,61.55258,0.50000,0.00000,0.00000,0.33484,0.33032
24,DISC,0.69681,61.55258,0.50000,0.00000,0.00000,0.33032,0.34389
25,DISC,0.69602,61.55258,0.50000,0.00000,0.00000,0.33032,0.31222
26,DISC,0.69538,61.55258,0.50000,0.00000,0.00000,0.35973,0.34163
27,GEN,0.69538,60.15475,0.50000,0.00000,0.00000,0.35068,0.29864
28,GEN,0.69538,63.34160,0.50000,0.00000,0.00000,0.35068,0.32805
29,DISC,0.69501,63.34160,0.50000,0.00000,0.00000,0.33258,0.32805
30,DISC,0.69497,63.34160,0.50000,0.00000,0.00000,0.34842,0.31674
31,DISC,0.69490,63.34160,0.50000,0.00000,0.00000,0.31674,0.32579
32,DISC,0.69409,63.34160,0.50000,0.00000,0.00000,0.31900,0.33484
33,DISC,0.69411,63.34160,0.50000,0.00000,0.00000,0.36425,0.31674
34,DISC,0.69381,63.34160,0.50000,0.00000,0.00000,0.32805,0.34163
35,DISC,0.69385,63.34160,0.50000,0.00000,0.00000,0.31222,0.33032
36,DISC,0.69321,63.34160,0.50000,0.00000,0.00000,0.33258,0.33484
37,DISC,0.69318,63.34160,0.50000,0.00000,0.00000,0.32353,0.32579
38,DISC,0.69215,63.34160,0.50000,0.00000,0.00000,0.31448,0.32353
39,DISC,0.69208,63.34160,0.50000,0.00000,0.00000,0.34615,0.35520
40,DISC,0.69174,63.34160,0.50000,0.00000,0.00000,0.34842,0.35520
41,DISC,0.69196,63.34160,0.50000,0.00000,0.00000,0.32353,0.34163
42,DISC,0.69123,63.34160,0.50000,0.00000,0.00000,0.34615,0.31900
43,DISC,0.69065,63.34160,0.50000,0.00000,0.00000,0.33258,0.37557
