+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
| Epoch | Training | Discriminator Loss | Generator Loss | D_Accuracy |  D_fpR  | D_Recall |  A_fpR  |  U_fpR  |
+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
|   1   |   DISC   |      0.68472       |    43.18456    |  0.50000   | 0.00000 | 0.00000  | 0.32449 | 0.32245 |
|   2   |   DISC   |      0.68502       |    43.18456    |  0.50000   | 0.00000 | 0.00000  | 0.32245 | 0.35918 |
|   3   |   DISC   |      0.68399       |    43.18456    |  0.50000   | 0.00000 | 0.00000  | 0.34490 | 0.35102 |
|   4   |   DISC   |      0.68427       |    43.18456    |  0.50000   | 0.00000 | 0.00000  | 0.34082 | 0.32245 |
|   5   |   DISC   |      0.68293       |    43.18456    |  0.50000   | 0.00000 | 0.00000  | 0.33061 | 0.31633 |
|   6   |   GEN    |      0.68293       |    41.66605    |  0.50000   | 0.00000 | 0.00000  | 0.35306 | 0.35714 |
|   7   |   GEN    |      0.68293       |    41.52393    |  0.50000   | 0.00000 | 0.00000  | 0.36735 | 0.30204 |
|   8   |   DISC   |      0.68336       |    41.52393    |  0.50000   | 0.00000 | 0.00000  | 0.31837 | 0.36122 |
|   9   |   DISC   |      0.68337       |    41.52393    |  0.50000   | 0.00000 | 0.00000  | 0.31020 | 0.35306 |
|   10  |   DISC   |      0.68299       |    41.52393    |  0.50000   | 0.00000 | 0.00000  | 0.30408 | 0.31020 |
|   11  |   DISC   |      0.68234       |    41.52393    |  0.50000   | 0.00000 | 0.00000  | 0.35714 | 0.31224 |
|   12  |   DISC   |      0.68173       |    41.52393    |  0.50000   | 0.00000 | 0.00000  | 0.28776 | 0.32449 |
|   13  |   GEN    |      0.68173       |    40.74220    |  0.50000   | 0.00000 | 0.00000  | 0.31020 | 0.33469 |
|   14  |   GEN    |      0.68173       |    40.98304    |  0.50000   | 0.00000 | 0.00000  | 0.28367 | 0.34286 |
|   15  |   DISC   |      0.68131       |    40.98304    |  0.50000   | 0.00000 | 0.00000  | 0.35510 | 0.35306 |
|   16  |   DISC   |      0.68124       |    40.98304    |  0.50000   | 0.00000 | 0.00000  | 0.31429 | 0.35510 |
|   17  |   DISC   |      0.68059       |    40.98304    |  0.50000   | 0.00000 | 0.00000  | 0.31633 | 0.36122 |
|   18  |   DISC   |      0.68049       |    40.98304    |  0.50000   | 0.00000 | 0.00000  | 0.34898 | 0.32041 |
|   19  |   DISC   |      0.68018       |    40.98304    |  0.50000   | 0.00000 | 0.00000  | 0.34286 | 0.34490 |
|   20  |   GEN    |      0.68018       |    42.38281    |  0.50000   | 0.00000 | 0.00000  | 0.34898 | 0.34082 |
